,Skipover,Win For Laila,Asgata,Miss Conveyor,Crimson Lille,Elegant Taste,Jo Amy,Mischief Melody,Santafe Express,Awesome Tap
12-01-2023 10:46:14.833257,"(13.0, 32.0, 29.666666666666668)","(8.5, 9.4, 9.133333333333333)","(20.0, 170.0, 109.19999999999999)","(7.0, 8.6, 8.559999999999999)","(21.0, 220.0, 92.0)","(2.45, 3.8, 3.7181818181818183)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.56)","(12.0, 9.8, 9.514285714285714)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:16.257730,"(13.0, 32.0, 29.666666666666668)","(8.5, 9.4, 9.133333333333333)","(20.0, 170.0, 112.14285714285714)","(7.0, 8.6, 8.559999999999999)","(21.0, 220.0, 92.0)","(2.45, 3.8, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.56)","(12.0, 9.8, 9.3)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:17.633171,"(13.0, 32.0, 29.666666666666668)","(8.5, 9.6, 9.133333333333333)","(20.0, 150.0, 112.14285714285714)","(7.0, 8.6, 8.559999999999999)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.56)","(12.0, 9.4, 9.3)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:18.938593,"(13.0, 32.0, 29.666666666666668)","(8.5, 9.6, 9.133333333333333)","(20.0, 150.0, 112.14285714285714)","(7.0, 8.6, 8.559999999999999)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.56)","(12.0, 9.4, 9.3)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:20.349052,"(13.0, 32.0, 29.666666666666668)","(8.5, 9.6, 9.133333333333333)","(20.0, 150.0, 120.55555555555554)","(7.0, 8.6, 8.52)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.56)","(12.0, 9.4, 9.314285714285713)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:21.731141,"(13.0, 32.0, 29.666666666666668)","(8.5, 9.6, 9.133333333333333)","(20.0, 150.0, 120.55555555555554)","(7.0, 8.6, 8.52)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.56)","(12.0, 10.0, 9.117647058823529)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:23.186011,"(13.0, 32.0, 29.666666666666668)","(8.5, 10.5, 9.261904761904763)","(20.0, 150.0, 120.55555555555554)","(7.0, 8.6, 8.52)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.564285714285714)","(12.0, 9.4, 8.8)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:24.578295,"(13.0, 32.0, 29.666666666666668)","(8.5, 10.0, 9.6)","(20.0, 150.0, 120.55555555555554)","(7.0, 8.6, 8.52)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.6, 4.35)","(12.0, 9.2, 9.022222222222222)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:25.923030,"(13.0, 32.0, 29.666666666666668)","(8.5, 10.0, 9.6)","(20.0, 150.0, 120.55555555555554)","(7.0, 8.6, 8.52)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 30.0)","(3.6, 4.5, 4.35)","(12.0, 9.2, 9.022222222222222)","(41.0, 120.0, 92.5)"
12-01-2023 10:46:27.283834,"(13.0, 32.0, 29.666666666666668)","(8.5, 10.0, 9.6)","(20.0, 150.0, 62.0)","(7.0, 8.6, 8.52)","(21.0, 220.0, 92.0)","(2.45, 3.75, 3.7333333333333334)","(12.0, 32.0, 28.5)","(3.6, 4.5, 4.35)","(12.0, 9.2, 8.9)","(41.0, 120.0, 92.5)"
