,Opawa Nicky,Homebush Benji,Elodie,Is That Toby,Homebush Matty,Hurunui Mouse,Go Again,Laxmans Ganguly
06-01-2023 09:07:42.009351,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:43.049685,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:44.063461,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:45.058811,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:46.064877,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:47.105231,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:48.065700,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:49.111700,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:50.222524,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:51.187840,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:52.179815,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:53.140400,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:54.196702,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:55.169631,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 10.0, 7.866666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:56.243043,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:57.261605,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:58.311752,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:07:59.345711,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:00.525712,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:01.577481,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:02.621642,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:03.701635,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:04.729398,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:05.793816,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:06.826311,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:07.838277,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:08.850409,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:09.905290,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:10.961267,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:12.025757,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 9.8, 8.766666666666667)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:13.052289,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:14.066025,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:15.103859,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:16.107368,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:17.104118,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:18.198286,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:19.276432,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:20.393228,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:21.483963,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:22.513061,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.5, 10.183333333333334)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:23.586378,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:24.621143,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:25.695460,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:26.729690,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:27.783651,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:28.847965,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:29.954814,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:31.067547,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:32.127912,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
06-01-2023 09:08:33.125491,"(5.5, 18.5, 13.1375)","(20.0, 180.0, 68.1923076923077)","(1.75, 2.8, 2.6432608695652173)","(15.0, 70.0, 65.89285714285714)","(26.0, 230.0, 100.625)","(18.0, 90.0, 83.31818181818181)","(3.7, 11.0, 8.533333333333333)","(10.0, 36.0, 21.91764705882353)"
