,My Calante,Treasure Coast,Rowdy River,Iffy Asset Class,Super Prospector,Antioch Dandy,Ryan Express
16-12-2022 11:54:44.205926,"(5.0, 6.4, 6.339130434782609)","(21.0, 50.0, 32.0)","(5.5, 6.6, 6.425)","(1.9, 2.2, 2.156923076923077)","(16.0, 36.0, 32.66666666666667)","(31.0, 270.0, 190.0)","(6.5, 7.4, 7.852173913043478)"
16-12-2022 11:54:45.223438,"(5.0, 6.4, 6.339130434782609)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.6, 6.425)","(1.9, 2.2, 2.156923076923077)","(16.0, 36.0, 32.66666666666667)","(31.0, 270.0, 190.0)","(6.5, 8.2, 6.914285714285715)"
16-12-2022 11:54:46.268547,"(5.0, 6.4, 6.222222222222222)","(21.0, 50.0, 43.55555555555556)","(5.5, 6.6, 6.425)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 32.66666666666667)","(31.0, 270.0, 91.5)","(6.5, 8.2, 7.852173913043478)"
16-12-2022 11:54:47.220187,"(5.0, 6.4, 6.339130434782609)","(21.0, 50.0, 36.0)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 26.666666666666668)","(31.0, 270.0, 91.5)","(6.5, 8.2, 7.3)"
16-12-2022 11:54:48.158056,"(5.0, 6.4, 6.222222222222222)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 30.4)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.466666666666667)"
16-12-2022 11:54:49.170324,"(5.0, 6.4, 6.222222222222222)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 32.285714285714285)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.926315789473684)"
16-12-2022 11:54:50.240437,"(5.0, 6.4, 6.344)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 32.285714285714285)","(31.0, 270.0, 180.75)","(6.5, 8.0, 7.466666666666667)"
16-12-2022 11:54:51.368982,"(5.0, 6.4, 6.344)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 32.285714285714285)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.933333333333334)"
16-12-2022 11:54:52.470467,"(5.0, 6.4, 6.344)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.2, 2.1341176470588237)","(16.0, 36.0, 32.285714285714285)","(31.0, 270.0, 91.5)","(6.5, 8.0, 7.3)"
16-12-2022 11:54:53.557560,"(5.0, 6.4, 6.344)","(21.0, 50.0, 43.77777777777778)","(5.5, 6.6, 6.199999999999999)","(1.9, 2.18, 2.126666666666667)","(16.0, 36.0, 32.285714285714285)","(31.0, 270.0, 180.75)","(6.5, 8.0, 7.933333333333334)"
