,Nightwatch Star,Eagle Uno,Parabellum,Knight Walker,Stilton,Laker,Pocket More For Less Nz,Happy As,Caesars Rockstar,Neville Shannon
10-01-2023 19:35:38.803746,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(20.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 38.285714285714285)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:35:40.372807,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(20.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 38.285714285714285)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:35:41.931975,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(20.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 38.285714285714285)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:35:43.471786,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(20.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 38.285714285714285)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:35:45.005115,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 198.0)","(20.0, 48.0, 40.5)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 38.285714285714285)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 56.66666666666667)"
10-01-2023 19:35:46.565899,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:48.090119,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:49.613373,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:51.070797,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:52.564673,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
10-01-2023 19:35:54.103533,"(2.0, 2.78, 2.6111111111111107)","(4.8, 9.8, 8.525)","(4.6, 8.8, 7.375)","(101.0, 220.0, 188.57142857142856)","(20.0, 48.0, 41.4)","(101.0, 220.0, 191.42857142857144)","(4.8, 99999, 99990)","(16.0, 48.0, 25.333333333333336)","(51.0, 220.0, 105.33333333333334)","(31.0, 140.0, 73.33333333333334)"
