,Tin Amber Mine,Skylar Bree,Bears Best,Ima Midnight Rebel,Saint Jujon,Marty The Martian,Whos To Blame,Long Time Coming
06-01-2023 11:17:53.456233,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.68)","(101.0, 170.0, 110.0)","(31.0, 48.0, 44.0)"
06-01-2023 11:17:54.627749,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.68)","(101.0, 170.0, 110.0)","(31.0, 48.0, 44.0)"
06-01-2023 11:17:55.777159,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.68)","(101.0, 170.0, 110.0)","(31.0, 48.0, 44.0)"
06-01-2023 11:17:57.344808,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.68)","(101.0, 170.0, 110.0)","(31.0, 48.0, 44.0)"
06-01-2023 11:17:58.413120,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.68)","(101.0, 170.0, 110.0)","(31.0, 48.0, 44.0)"
06-01-2023 11:17:59.604733,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.68)","(101.0, 170.0, 110.0)","(31.0, 48.0, 44.0)"
06-01-2023 11:18:00.923658,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 10.6)","(5.0, 6.4, 5.8)","(101.0, 170.0, 110.0)","(31.0, 48.0, 42.666666666666664)"
06-01-2023 11:18:02.012552,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 13.0, 14.7)","(5.0, 6.2, 5.8)","(101.0, 170.0, 110.0)","(31.0, 50.0, 44.0)"
06-01-2023 11:18:03.157651,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 20.0, 12.933333333333334)","(5.0, 6.2, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 48.0, 40.0)"
06-01-2023 11:18:04.172552,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:05.170183,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:06.355457,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
06-01-2023 11:18:07.513741,"(2.8, 5.1, 4.35)","(1.8, 2.98, 2.7914285714285714)","(61.0, 95.0, 59.75)","(51.0, 200.0, 73.33333333333333)","(9.0, 19.5, 12.766666666666667)","(5.0, 6.0, 5.4399999999999995)","(101.0, 170.0, 110.0)","(31.0, 46.0, 40.0)"
