,Spritz,Smooth Heaven,Prosecute,Robell Ruby,Our Sassy Nyrah,Fearless Levi,Double The Cash,Outbreak Bindi
10-01-2023 18:12:00.911916,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 34.375)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.8, 5.8)","(91.0, 820.0, 562.2727272727273)","(8.5, 17.5, 12.85)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 60.434782608695656)"
10-01-2023 18:12:02.304168,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 34.375)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.8, 5.8)","(91.0, 610.0, 562.2727272727273)","(8.5, 17.5, 12.85)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 60.434782608695656)"
10-01-2023 18:12:03.670649,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.8, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.5, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:05.029690,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:06.301919,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:07.632703,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:08.936851,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:10.302600,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:11.589833,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
10-01-2023 18:12:13.295730,"(2.4, 2.98, 2.611818181818182)","(18.0, 60.0, 27.2)","(6.0, 9.8, 9.643298969072166)","(4.8, 8.6, 5.757894736842105)","(91.0, 610.0, 480.0)","(8.5, 17.0, 13.7)","(3.6, 5.1, 4.796551724137931)","(21.0, 70.0, 38.72727272727273)"
