,Sweet Indie,Mama Said,Stick Hunter,Spring Evie,Viva Belle,Pink Flyer,Bailey,Frosty Girl
16-12-2022 15:41:10.930406,"(1.75, 2.0, 1.8900000000000001)","(9.0, 19.0, 12.333333333333332)","(21.0, 60.0, 39.75)","(10.0, 21.0, 19.375)","(10.0, 36.0, 21.944444444444443)","(5.5, 9.8, 6.866666666666666)","(5.5, 12.0, 11.372727272727273)","(21.0, 120.0, 85.0909090909091)"
16-12-2022 15:41:11.947806,"(1.75, 1.98, 1.9124999999999999)","(9.0, 14.0, 12.333333333333332)","(21.0, 60.0, 39.75)","(10.0, 21.0, 19.375)","(10.0, 36.0, 21.944444444444443)","(5.5, 9.8, 6.85)","(5.5, 12.0, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:12.901085,"(1.75, 1.98, 1.8900000000000001)","(9.0, 19.0, 14.2)","(21.0, 60.0, 39.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.6, 6.85)","(5.5, 12.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:13.947833,"(1.75, 1.98, 1.9425)","(9.0, 19.0, 14.2)","(21.0, 60.0, 39.75)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 8.6)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:14.966048,"(1.75, 1.98, 1.9124999999999999)","(9.0, 19.0, 14.466666666666667)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 7.385714285714286)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:15.997920,"(1.75, 1.98, 1.9124999999999999)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 7.385714285714286)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:17.029711,"(1.75, 1.98, 1.9124999999999999)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 7.385714285714286)","(5.5, 11.0, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:18.007554,"(1.75, 1.98, 1.8525)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 8.263636363636364)","(5.5, 12.0, 11.372727272727273)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:18.974374,"(1.75, 1.98, 1.955)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 8.438095238095238)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
16-12-2022 15:41:20.015025,"(1.75, 1.98, 1.9100000000000001)","(9.0, 19.0, 15.0)","(21.0, 60.0, 50.58823529411765)","(10.0, 21.0, 19.666666666666664)","(10.0, 36.0, 21.764705882352942)","(5.5, 9.8, 7.928571428571429)","(5.5, 11.0, 10.25)","(21.0, 120.0, 91.07692307692308)"
