,Shian Gizmo,Rosie Clare,Single Figures,Spring Oak,Our Opals,Thanks Mark,Spring Ethic,Big Apatite
10-01-2023 15:25:42.960293,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:44.116969,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:45.303763,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:46.556180,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:47.595785,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:48.687981,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:49.835227,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:51.048540,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:52.193405,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
10-01-2023 15:25:53.277297,"(5.0, 9.2, 6.217647058823529)","(16.0, 36.0, 24.88888888888889)","(10.0, 20.0, 15.923076923076923)","(6.5, 11.5, 7.144444444444444)","(2.0, 2.04, 1.9155555555555555)","(7.0, 25.0, 11.079999999999998)","(41.0, 350.0, 195.0)","(6.5, 12.5, 10.4375)"
