,Paramount Rush,Kahlua And Soda,Up There Millie,Magic Zimba,Destini Fresco,Up There Rocco
16-12-2022 10:46:02.370705,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 34.75)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:03.365179,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 34.75)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:04.315388,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 34.75)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:05.239815,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.214285714285715)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:06.162430,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.214285714285715)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:07.144335,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:08.169468,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:09.168554,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:10.049773,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:10.980525,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:11.964971,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:12.955806,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
16-12-2022 10:46:13.899182,"(3.9, 5.9, 5.460000000000001)","(4.6, 7.6, 7.142857142857142)","(21.0, 90.0, 50.83333333333333)","(19.0, 75.0, 43.611111111111114)","(14.0, 55.0, 37.42857142857143)","(1.6, 1.89, 1.68)"
