,Our Girl Socks,Grants Treasure,Gerrys Gift,No Return,Dynamite Swan,Aston Cristiano,Boot A Dream,Lofty
10-01-2023 20:11:20.982235,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 66.83333333333333)","(15.0, 36.0, 27.0)","(15.0, 44.0, 38.9)","(2.3, 2.62, 2.4699999999999998)","(4.6, 8.0, 7.0476190476190474)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:22.037477,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 44.0, 38.9)","(2.3, 2.62, 2.4699999999999998)","(4.6, 8.0, 7.0476190476190474)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:23.175115,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 40.0, 25.666666666666668)","(2.3, 2.62, 2.4699999999999998)","(4.6, 8.0, 7.0476190476190474)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:24.272063,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 38.0, 28.25)","(2.3, 2.62, 2.4903703703703703)","(4.6, 8.0, 7.0476190476190474)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:25.373180,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 36.0, 28.5)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:26.451599,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 36.0, 25.5)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:27.451177,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 36.0, 24.863636363636363)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:28.474435,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:29.583799,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 68.14285714285714)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
10-01-2023 20:11:30.687750,"(6.0, 7.8, 7.482352941176471)","(26.0, 75.0, 69.0)","(15.0, 36.0, 27.0)","(15.0, 32.0, 29.3)","(2.3, 2.62, 2.4903703703703703)","(4.6, 7.8, 7.414285714285715)","(26.0, 75.0, 58.666666666666664)","(3.4, 5.6, 4.8125)"
