,Roll Along Jane,Anyonewilldo,No Rushing,Redbank Harry,Screentime,Paddy Mach,Smokin Pocket,Our Rocky,Miami Surf,Hilly
09-01-2023 15:17:00.047145,"(5.0, 7.8, 6.4)","(51.0, 210.0, 99.33333333333334)","(15.0, 30.0, 24.5)","(3.7, 5.7, 4.95)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 13.5, 7.875)","(4.2, 8.8, 7.466666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:01.422496,"(5.0, 7.8, 6.4)","(51.0, 210.0, 99.33333333333334)","(15.0, 30.0, 24.5)","(3.7, 5.7, 4.95)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 13.5, 7.875)","(4.2, 8.8, 7.466666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:02.873249,"(5.0, 7.8, 6.4)","(51.0, 210.0, 99.33333333333334)","(15.0, 30.0, 24.5)","(3.7, 5.7, 4.95)","(12.0, 25.0, 20.833333333333336)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 76.0)","(6.0, 13.5, 7.875)","(4.2, 8.8, 7.466666666666667)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:04.384858,"(5.0, 7.8, 6.4)","(51.0, 210.0, 99.33333333333334)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 18.055555555555557)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 13.5, 7.75)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:05.900206,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 13.0, 7.75)","(4.2, 8.8, 7.2)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:07.293737,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 13.0, 7.75)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:08.725784,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 13.0, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:10.128561,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:11.674216,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:13.155334,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:14.610792,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:15.973778,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:17.346933,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:18.649830,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:19.987161,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.1)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:21.272189,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:22.604059,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:23.972758,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:25.344161,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:26.750368,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:28.082363,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:29.475661,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:30.902040,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:32.354212,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:33.791882,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:35.265515,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 6.9)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:36.746212,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 98.0)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:38.267132,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:39.786689,"(5.0, 7.8, 6.4)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 4.95)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 8.166666666666666)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:41.229698,"(5.0, 7.8, 6.68)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.631884057971014)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:42.667400,"(5.0, 7.8, 6.6)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:44.125428,"(5.0, 7.8, 6.6)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:45.724983,"(5.0, 7.8, 6.6)","(51.0, 210.0, 119.45454545454545)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:47.331373,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:48.930903,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:50.587715,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
09-01-2023 15:17:52.178983,"(5.0, 7.8, 6.6)","(51.0, 210.0, 120.54545454545455)","(15.0, 30.0, 20.4)","(3.7, 5.7, 5.4125)","(12.0, 25.0, 17.5)","(8.0, 13.0, 11.066666666666666)","(31.0, 120.0, 95.42857142857143)","(6.0, 12.5, 10.528571428571428)","(4.2, 8.8, 8.090909090909092)","(8.0, 14.0, 9.6)"
