,Marinus,Choose Well,Demon Kingsbrae,Magic Secret,Amber Jack,Magic Charm,Paxton Dutton
05-01-2023 13:17:32.516566,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:34.073124,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:35.614531,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:36.783393,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:37.882610,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:39.172502,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:40.261595,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:41.427593,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:42.693466,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:43.639076,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:44.601676,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:45.644158,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:46.837504,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:47.949218,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:49.087538,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:50.168115,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:51.163142,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:52.224204,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:53.206012,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.2, 5.290909090909091)"
05-01-2023 13:17:54.263993,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 7.0, 6.279999999999999)"
05-01-2023 13:17:55.318278,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:17:56.416065,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:17:57.448463,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:17:58.464988,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:17:59.848224,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:18:01.028581,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:18:02.178723,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 6.279999999999999)"
05-01-2023 13:18:03.371879,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:04.539317,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:05.609727,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:06.676688,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:07.666947,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:08.721822,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:09.935785,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:11.109467,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:12.193767,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:13.168879,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:14.217874,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:15.300367,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:16.418080,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:17.517793,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:18.695745,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:19.680332,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:20.630829,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:21.686686,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:23.028641,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:24.222128,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.1454545454545455)"
05-01-2023 13:18:25.363432,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.8, 5.960000000000001)"
05-01-2023 13:18:26.484524,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:27.557238,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:28.716525,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:29.862215,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:30.975036,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:31.975404,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:32.953804,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:34.049625,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
05-01-2023 13:18:35.108300,"(2.9, 4.8, 4.698888888888889)","(4.8, 9.2, 8.6)","(5.5, 13.0, 11.957142857142859)","(3.3, 5.1, 3.6454545454545455)","(21.0, 100.0, 81.25)","(71.0, 580.0, 325.0)","(4.6, 6.4, 5.960000000000001)"
