,Chip Rock,Arrogant Benji,Spanish Sundance,Five Mile Rose,Sassy Sal,Go Forward Ray,Rutland Georgia,Sketchy Combat
12-01-2023 17:14:02.828527,"(2.7, 4.8, 4.210344827586207)","(6.5, 10.0, 7.9)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.666666666666666)","(7.5, 13.0, 11.52)","(71.0, 490.0, 223.0)","(5.5, 9.8, 8.0)"
12-01-2023 17:14:03.878091,"(2.7, 4.7, 4.634615384615385)","(6.5, 10.0, 7.9)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.666666666666666)","(7.5, 12.5, 11.52)","(71.0, 400.0, 223.0)","(5.5, 9.6, 8.0)"
12-01-2023 17:14:04.936508,"(2.7, 4.8, 4.2)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.75)","(7.5, 12.5, 11.56)","(71.0, 400.0, 223.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:06.066244,"(2.7, 4.8, 4.0851851851851855)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.25)","(7.5, 12.5, 11.56)","(71.0, 400.0, 341.3333333333333)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:07.074890,"(2.7, 4.7, 4.4)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.25)","(7.5, 12.5, 11.56)","(71.0, 400.0, 341.3333333333333)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:08.078412,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 362.22222222222223)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:09.164832,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:10.300654,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:11.404244,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
12-01-2023 17:14:12.463935,"(2.7, 4.7, 4.35)","(6.5, 10.5, 8.025)","(17.0, 60.0, 39.0)","(3.3, 3.95, 3.683333333333333)","(11.0, 14.0, 13.5)","(7.5, 12.5, 11.56)","(71.0, 400.0, 366.0)","(5.5, 9.6, 9.066666666666666)"
