,Market Mate,Bring Me Roses,Max Inferno,Trip Me Up,Akuna Street,Mystical Skye,Gunai Redeemer,Mini Mango
12-01-2023 08:00:57.197740,"(5.5, 12.0, 7.233333333333333)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:00:58.389195,"(5.5, 12.0, 7.233333333333333)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:00:59.431596,"(5.5, 12.0, 7.233333333333333)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:00.564452,"(5.5, 12.0, 7.233333333333333)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:01.700998,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:02.736700,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:03.993267,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:05.107433,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 12.933333333333334)","(3.2, 4.5, 3.95)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:06.298287,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.5, 4.0)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:07.395182,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 10.114285714285714)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.109090909090909)"
12-01-2023 08:01:08.483822,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:09.721878,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:10.821239,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:12.139483,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:13.230059,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:14.259852,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:15.239727,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:16.215771,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:17.182748,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.5, 12.3875)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 4.0)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:18.130845,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:19.117586,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:20.093065,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:21.169778,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:22.181167,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
12-01-2023 08:01:23.275734,"(5.5, 12.0, 8.027777777777779)","(4.4, 7.8, 7.216666666666667)","(7.5, 14.0, 12.3)","(51.0, 440.0, 111.66666666666667)","(7.5, 15.0, 11.533333333333335)","(7.5, 15.5, 14.644444444444446)","(3.2, 4.6, 3.5)","(4.6, 7.2, 6.857142857142858)"
