,Vintage Fame,Montana Grace,Buckle Up Kenzie,Old News,Thumping,Rojo Diamond,Panama Dance
10-01-2023 12:01:47.172213,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:48.229547,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:49.317141,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:50.343696,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:51.410311,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:52.449615,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:53.488321,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:54.471771,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:55.455205,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:56.444706,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:57.429657,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:58.485191,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:01:59.584558,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:00.628470,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:01.657746,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:02.668184,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:03.687386,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:04.664254,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:05.662475,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:06.667919,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:07.668983,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:08.694394,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:09.786834,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:10.778644,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:11.847196,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:12.819955,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:13.762223,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:14.742774,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
10-01-2023 12:02:15.715083,"(3.1, 5.9, 4.1230769230769235)","(81.0, 610.0, 340.0)","(4.2, 8.0, 4.826666666666666)","(10.0, 18.5, 12.990909090909092)","(21.0, 100.0, 51.25)","(1.75, 1.86, 1.7683333333333333)","(51.0, 410.0, 241.8181818181818)"
