,Elusive Eagle,Swan Island,Arthur In Charge,Turboart,Wait A Minute,Dont Diss Around,The Power Of One,Expensive To Keep,Secret Cash,Got The Lot
05-01-2023 16:50:43.125444,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.6, 3.5829411764705883)","(61.0, 75.0, 73.75)","(4.8, 7.2, 7.085714285714285)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 19.413793103448278)","(3.6, 3.9, 3.8919642857142858)","(41.0, 85.0, 79.0)"
05-01-2023 16:50:44.243794,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6173076923076923)","(61.0, 75.0, 73.75)","(4.8, 7.2, 7.085714285714285)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 19.105263157894736)","(3.5, 3.95, 3.921186440677966)","(41.0, 85.0, 79.0)"
05-01-2023 16:50:45.375888,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6173076923076923)","(61.0, 75.0, 73.75)","(4.8, 7.2, 7.085714285714285)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 19.105263157894736)","(3.5, 3.95, 3.9395061728395064)","(41.0, 85.0, 79.0)"
05-01-2023 16:50:46.561046,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6173076923076923)","(61.0, 75.0, 73.75)","(4.8, 7.2, 7.085714285714285)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 19.105263157894736)","(3.5, 3.95, 3.9395061728395064)","(41.0, 85.0, 79.0)"
05-01-2023 16:50:47.848427,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6173076923076923)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 19.105263157894736)","(3.5, 3.95, 3.9395061728395064)","(41.0, 85.0, 90.38461538461539)"
05-01-2023 16:50:49.078785,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6173076923076923)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 19.105263157894736)","(3.5, 3.95, 3.939375)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:50.260374,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.483870967741936)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 18.428571428571427)","(3.5, 3.95, 3.939375)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:51.461625,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 18.1)","(3.5, 3.95, 3.939375)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:52.743539,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 18.1)","(3.5, 3.95, 3.9390322580645165)","(41.0, 95.0, 87.0)"
05-01-2023 16:50:54.052743,"(11.0, 14.0, 13.208955223880597)","(20.0, 30.0, 29.714285714285715)","(8.5, 10.0, 9.730526315789474)","(2.9, 3.65, 3.6166666666666667)","(61.0, 75.0, 72.5)","(4.8, 7.2, 7.12)","(19.0, 32.0, 31.304347826086957)","(12.0, 20.0, 18.1)","(3.5, 3.95, 3.9390322580645165)","(41.0, 95.0, 87.0)"
