,Alta Queen,Moonlightsshadow,Alta Hurrah Nz,Dwayne,Pocket The Change Nz,All Black Rain,Mister Montblanc
10-01-2023 18:04:35.364510,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:36.516121,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:37.541698,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:38.657600,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:39.773713,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 184.28571428571428)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:40.921907,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:42.121147,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:43.253506,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:44.416605,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
10-01-2023 18:04:45.612272,"(3.9, 5.9, 5.366666666666667)","(101.0, 210.0, 184.28571428571428)","(6.0, 99999, 99990)","(101.0, 210.0, 193.63636363636363)","(2.35, 99999, 99990)","(101.0, 220.0, 166.66666666666666)","(2.35, 3.2, 3.072)"
