,Was That Then,Randall,Nitro Beau,Highgate Lass,Our Charlie Boy,Hot Danger,Dewana Gem,Posh Danger
10,"[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 10, 502888), 4.8, 8.6]"
11,"[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 11, 637390), 4.8, 8.6]"
12,"[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 12, 764681), 4.8, 8.6]"
13,"[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 13, 906740), 4.8, 8.6]"
14,"[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 15, 38090), 4.8, 8.6]"
15,"[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 16, 174103), 4.8, 8.6]"
16,"[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 17, 307883), 4.8, 8.6]"
17,"[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 18, 436177), 4.8, 8.6]"
18,"[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 19, 567522), 4.8, 8.6]"
19,"[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 20, 704566), 4.8, 8.6]"
20,"[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 21, 841740), 4.8, 8.6]"
21,"[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 21.0, 75.0]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 4.4, 8.8]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 51.0, 410.0]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 18, 18, 22, 969687), 4.8, 8.6]"
