,Aikhal,Keyless Go,Tango And Cash,White Hart Express,Cape Wrath,Kentucky Nick,Prickley Prince,Splendid Chap,Princess Alakhai,Sassolino,Missedthedeel,Poetic Whisper
08-12-2022 13:14:38.101552,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 283.3333333333333)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 190.0, 153.33333333333331)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:39.763826,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 190.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:41.466100,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:43.097870,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:44.768283,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:46.369508,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:48.017445,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:49.592989,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:51.056844,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.2)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:52.607502,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 322.0)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.089361702127659)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:54.120200,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 283.3333333333333)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.089361702127659)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:55.675913,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 283.3333333333333)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.089361702127659)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
08-12-2022 13:14:57.313515,"(8.0, 9.4, 9.31578947368421)","(21.0, 46.0, 36.666666666666664)","(4.2, 5.2, 5.055769230769231)","(26.0, 95.0, 81.25)","(101.0, 390.0, 283.3333333333333)","(3.9, 6.2, 6.04)","(41.0, 55.0, 53.9)","(3.5, 4.6, 4.089361702127659)","(101.0, 380.0, 313.33333333333337)","(5.5, 6.8, 6.32)","(101.0, 180.0, 166.95652173913044)","(14.0, 22.0, 21.75)"
