,Supasonic Romeo,Marlie On Fire,Bailing Out,Way Too Much,Champaign Dame,Spiteful Miss,Pepperberry
11-01-2023 19:54:07.790880,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:08.769767,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:09.841700,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:10.977220,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:12.070115,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:13.149288,"(10.0, 38.0, 31.125)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:14.093675,"(10.0, 38.0, 31.125)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:15.121780,"(10.0, 38.0, 31.125)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:16.155802,"(10.0, 38.0, 31.125)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:17.226229,"(10.0, 38.0, 31.125)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:18.257123,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:19.143272,"(10.0, 38.0, 32.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:20.158610,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:21.207978,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:22.231222,"(10.0, 38.0, 30.285714285714285)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:23.244444,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:24.189843,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:25.211410,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:26.292852,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:27.474142,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:28.533968,"(10.0, 38.0, 30.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:29.521936,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:30.484882,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:31.482775,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:32.481551,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:33.443504,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:34.403699,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:35.516507,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:36.634392,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:37.778773,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:38.704578,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
11-01-2023 19:54:39.685175,"(10.0, 38.0, 27.0)","(2.9, 4.8, 3.2075)","(4.2, 6.6, 4.066666666666666)","(14.0, 99999, 99990)","(31.0, 110.0, 51.42857142857143)","(13.0, 32.0, 19.5)","(2.25, 3.1, 2.5933333333333333)"
