,Benji Nz,Miss Lamarr,Mandoza Nz,Misstiano,Gee Jay Kay,Christmas Toyboy Nz,Good Times Ahead Nz,Stormyskyes,Gold Horseshoe
10,"[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 21, 23516), 41.0, 100.0]"
11,"[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 22, 281135), 41.0, 100.0]"
12,"[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 23, 503355), 41.0, 100.0]"
13,"[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 24, 749289), 41.0, 100.0]"
14,"[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 25, 958891), 41.0, 100.0]"
15,"[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 27, 169075), 41.0, 100.0]"
16,"[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 28, 394350), 41.0, 100.0]"
17,"[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 29, 631655), 41.0, 100.0]"
18,"[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 30, 848867), 41.0, 100.0]"
19,"[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 1.45, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 4.4, 7.6]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 41.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 21.0, 48.0]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 11.0, 21.0]","[datetime.datetime(2022, 11, 28, 17, 54, 32, 61765), 41.0, 100.0]"
