,My Mate Phil,Mighty Miners,Stolen Jade,Tony Pepperoni,Red Hill,Hes Got Swagger,Working Bee
10,"[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 39, 445727), 51.0, 530.0]"
11,"[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 40, 558721), 51.0, 520.0]"
12,"[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 41, 685721), 51.0, 520.0]"
13,"[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 42, 803765), 51.0, 520.0]"
14,"[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 43, 923393), 51.0, 520.0]"
15,"[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 45, 41259), 51.0, 520.0]"
16,"[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 46, 167181), 51.0, 510.0]"
17,"[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 47, 280221), 51.0, 510.0]"
18,"[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 48, 408998), 51.0, 510.0]"
19,"[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 2.8, 4.8]","[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 41.0, 330.0]","[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 1.45, 1.87]","[datetime.datetime(2022, 11, 28, 19, 30, 49, 533162), 51.0, 510.0]"
