,City Slicker,Chop And Drop,Single Swinger,Ethical Miss,Nulas Biscuit,Regent Tree,Hound Em Down,Ebby Collerson
0,"[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 2.5, 4.7]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 38, 630602), 8.0, 16.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 2.5, 4.7]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 39, 819102), 8.0, 16.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 2.5, 4.7]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 41, 32411), 8.0, 16.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 42, 185237), 8.0, 16.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 43, 375115), 8.0, 16.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 44, 500573), 8.0, 16.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 45, 643500), 8.0, 16.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 46, 802127), 8.0, 16.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 47, 977311), 8.0, 16.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 17.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 1.8, 2.36]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 2.5, 4.6]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 61.0, 460.0]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 101.0, 99999]","[datetime.datetime(2022, 11, 28, 17, 56, 49, 138077), 8.0, 16.0]"
