,Animal,Victory Medal Nz,Arthur Lowe Nz,Alakazam,Premonition,Clarenden Envoy,Steam Cleaned
07-01-2023 21:06:09.852646,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 19.0, 16.0)"
07-01-2023 21:06:11.306435,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 19.0, 16.3)"
07-01-2023 21:06:12.324577,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:13.314195,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:14.443487,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:15.560715,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:16.713150,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:17.773009,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:18.833904,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:19.821169,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:20.869808,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:21.936259,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:23.070521,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:24.122004,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:25.222172,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:26.285957,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:27.352543,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:28.353654,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:29.328127,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:30.402273,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:31.447355,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:32.590225,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:33.722114,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:34.876654,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:36.012499,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:37.096774,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
07-01-2023 21:06:38.195942,"(1.4, 1.62, 1.6064705882352943)","(15.0, 99999, 99990)","(81.0, 99999, 99990)","(13.0, 17.0, 13.142857142857142)","(5.0, 8.8, 7.960000000000001)","(7.5, 11.0, 10.2)","(11.0, 18.5, 16.3)"
