,Regal Sun,Jimmy Seven,Nitro Lad,Berry Berry Good,Westozi,Peppi Grove,Deuce Afloat,Justa Lil Faith,Schnoots,Tu Tu Won One Too
08-12-2022 14:45:55.556293,"(5.5, 9.0, 7.923076923076923)","(26.0, 100.0, 71.0)","(51.0, 150.0, 90.0)","(4.2, 6.2, 5.9)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.6, 3.504545454545455)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:45:56.896898,"(5.5, 9.0, 7.923076923076923)","(26.0, 100.0, 71.0)","(51.0, 150.0, 90.0)","(4.2, 6.2, 5.9)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.6, 3.504545454545455)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:45:58.247685,"(5.5, 9.0, 7.923076923076923)","(26.0, 100.0, 71.0)","(51.0, 150.0, 90.0)","(4.2, 6.2, 5.9)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.6, 3.504545454545455)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:45:59.578784,"(5.5, 9.0, 7.923076923076923)","(26.0, 100.0, 71.0)","(51.0, 150.0, 90.0)","(4.2, 6.2, 5.9)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.6, 3.504545454545455)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:46:00.950647,"(5.5, 9.0, 7.923076923076923)","(26.0, 100.0, 71.0)","(51.0, 150.0, 90.0)","(4.2, 6.2, 5.9)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.6, 3.504545454545455)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:46:02.353522,"(5.5, 9.0, 7.923076923076923)","(26.0, 100.0, 71.0)","(51.0, 150.0, 90.0)","(4.2, 6.2, 5.9)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.6, 3.504545454545455)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:46:03.730857,"(5.5, 9.6, 8.418181818181818)","(26.0, 95.0, 55.25)","(51.0, 150.0, 90.0)","(4.2, 6.0, 5.442857142857143)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.7, 3.4749999999999996)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:46:05.138823,"(5.5, 9.6, 8.04)","(26.0, 95.0, 55.25)","(51.0, 150.0, 90.0)","(4.2, 6.0, 5.442857142857143)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.65, 3.4749999999999996)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:46:06.605369,"(5.5, 9.4, 8.309090909090909)","(26.0, 95.0, 55.25)","(51.0, 150.0, 90.0)","(4.2, 6.0, 5.442857142857143)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.65, 3.4749999999999996)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
08-12-2022 14:46:08.077627,"(5.5, 9.4, 8.309090909090909)","(26.0, 95.0, 55.25)","(51.0, 150.0, 90.0)","(4.2, 6.0, 5.442857142857143)","(9.0, 12.0, 10.875)","(14.0, 30.0, 23.75)","(101.0, 390.0, 210.0)","(2.8, 3.65, 3.4749999999999996)","(3.6, 4.2, 4.177777777777778)","(71.0, 250.0, 133.33333333333334)"
