,Titans,Obsessive Nature,Tax Free Prophet,Areyoulistening,Strapparsi,Make An Effort,Delightful Icing
08-01-2023 16:20:49.115440,"(5.5, 5.8, 5.795588235294117)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.44, 2.386285714285714)","(10.0, 12.5, 11.5)","(5.0, 6.8, 6.288888888888889)","(12.0, 14.5, 13.92)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:50.157507,"(5.5, 5.8, 5.795588235294117)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.44, 2.386285714285714)","(10.0, 12.0, 11.5)","(5.0, 6.6, 6.288888888888889)","(12.0, 14.0, 13.92)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:51.331675,"(5.5, 5.8, 5.795588235294117)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3700507614213198)","(10.0, 12.0, 11.5)","(5.0, 6.6, 6.366666666666666)","(12.0, 14.0, 13.92)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:52.450030,"(5.5, 5.8, 5.795588235294117)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3700507614213198)","(10.0, 12.0, 11.5)","(5.0, 6.6, 6.366666666666666)","(12.0, 14.0, 13.479166666666666)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:53.488933,"(5.5, 5.8, 5.795588235294117)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3700507614213198)","(10.0, 12.0, 11.5)","(5.5, 6.6, 6.366666666666666)","(12.0, 13.5, 13.477272727272727)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:54.571768,"(5.5, 5.8, 5.795588235294117)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3700507614213198)","(10.0, 12.0, 11.5)","(5.5, 6.6, 6.492307692307692)","(12.0, 13.5, 13.477272727272727)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:55.582214,"(5.5, 5.8, 5.794827586206896)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.5)","(5.5, 6.6, 6.492307692307692)","(12.0, 13.5, 13.477272727272727)","(41.0, 70.0, 52.22222222222222)"
08-01-2023 16:20:56.651339,"(5.5, 5.8, 5.794827586206896)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.5)","(5.5, 6.6, 6.492307692307692)","(12.0, 14.0, 13.964285714285714)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:20:57.746152,"(5.5, 5.8, 5.794827586206896)","(11.0, 14.0, 13.990196078431373)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.5)","(5.5, 6.6, 6.492307692307692)","(12.0, 14.0, 13.964285714285714)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:20:58.654514,"(5.5, 5.8, 5.794827586206896)","(11.0, 15.0, 14.928571428571429)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.5)","(5.5, 6.6, 6.492307692307692)","(12.0, 14.0, 13.964285714285714)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:20:59.678141,"(5.5, 5.8, 5.788571428571428)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.466666666666667)","(5.5, 6.6, 6.509677419354839)","(12.0, 14.0, 13.964285714285714)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:21:00.786821,"(5.5, 5.9, 5.677777777777778)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3861878453038674)","(10.0, 12.0, 11.813953488372093)","(5.5, 6.6, 6.492307692307692)","(12.0, 14.0, 13.954545454545455)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:21:01.734291,"(5.5, 6.0, 5.91)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.720930232558139)","(5.5, 6.6, 6.492307692307692)","(12.0, 14.0, 13.954545454545455)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:21:02.728201,"(5.5, 6.0, 5.88)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3706451612903225)","(10.0, 12.0, 11.720930232558139)","(5.5, 6.6, 6.492307692307692)","(12.0, 14.0, 13.954545454545455)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:21:03.792842,"(5.5, 5.9, 5.861538461538462)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3687150837988824)","(10.0, 12.0, 11.636363636363637)","(5.5, 6.6, 6.509677419354839)","(12.0, 14.0, 13.954545454545455)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:21:04.848655,"(5.5, 5.9, 5.861538461538462)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3687150837988824)","(10.0, 12.0, 11.636363636363637)","(5.5, 6.6, 6.509677419354839)","(12.0, 14.0, 13.954545454545455)","(41.0, 70.0, 51.42857142857143)"
08-01-2023 16:21:05.908291,"(5.5, 5.9, 5.888059701492538)","(11.0, 15.0, 14.975)","(2.15, 2.42, 2.3687150837988824)","(10.0, 12.0, 11.636363636363637)","(5.5, 6.6, 6.589189189189189)","(12.0, 14.0, 14.125)","(41.0, 70.0, 56.81818181818182)"
08-01-2023 16:21:07.033469,"(5.5, 5.9, 5.8931623931623935)","(11.0, 15.0, 14.833333333333334)","(2.15, 2.42, 2.362202643171806)","(10.0, 12.0, 11.636363636363637)","(5.5, 6.8, 6.555555555555555)","(12.0, 14.5, 14.112903225806452)","(41.0, 75.0, 62.0)"
08-01-2023 16:21:08.109846,"(5.5, 5.9, 5.8931623931623935)","(11.0, 15.5, 14.557142857142857)","(2.15, 2.42, 2.362202643171806)","(10.0, 12.0, 11.636363636363637)","(5.5, 6.6, 6.589189189189189)","(12.0, 14.5, 14.112903225806452)","(41.0, 70.0, 62.0)"
08-01-2023 16:21:09.079012,"(5.5, 5.9, 5.860714285714286)","(11.0, 15.5, 14.557142857142857)","(2.15, 2.4, 2.391081081081081)","(10.0, 12.0, 11.846153846153847)","(5.5, 6.8, 6.589189189189189)","(12.0, 14.5, 14.112903225806452)","(41.0, 70.0, 62.0)"
08-01-2023 16:21:10.155770,"(5.5, 6.0, 5.931578947368421)","(11.0, 15.5, 14.557142857142857)","(2.15, 2.4, 2.391081081081081)","(10.0, 11.5, 11.397435897435898)","(5.5, 6.6, 6.552941176470588)","(12.0, 14.5, 14.166666666666666)","(41.0, 70.0, 62.0)"
