,Jess For Kicks,Holy Pink,Supersnake,Ballymena,Ultimate Breeze,Americas Woman,Red Priestess,Mi Yayis,My Bridget Verdot
06-01-2023 09:54:16.238528,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:17.362356,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:18.473512,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:19.643807,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:20.794745,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:21.934116,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:22.988212,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:24.016046,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:25.104980,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:26.196311,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
06-01-2023 09:54:27.324072,"(9.0, 17.0, 13.0)","(11.0, 22.0, 16.0)","(17.0, 230.0, 193.83333333333331)","(19.0, 180.0, 146.9)","(17.0, 230.0, 148.625)","(9.0, 17.0, 13.0)","(1.7, 2.0, 1.9726470588235294)","(6.0, 10.5, 8.19)","(19.0, 230.0, 158.16666666666666)"
