,Invincible Bay,Always Hapi,Sebastian The Fox,Sachem,Savvy Sovereign,Le Messager,Mr Invincible,Stelvio,Top Arctic,Mortar,Demando,Oamanikka,Friday At Five,Zazster
04-01-2023 15:24:39.080067,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(7.5, 11.0, 10.672413793103448)","(4.4, 5.5, 5.284)","(3.0, 3.7, 3.624561403508772)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 65.0, 54.4)","(51.0, 100.0, 64.0)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(41.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:40.714343,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(7.5, 11.0, 10.672413793103448)","(4.4, 5.5, 5.284)","(3.0, 3.65, 3.624561403508772)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.4)","(51.0, 100.0, 64.0)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(41.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:42.333355,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(7.5, 11.0, 10.672413793103448)","(4.4, 5.5, 5.284)","(3.0, 3.65, 3.624561403508772)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.4)","(51.0, 100.0, 64.0)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(41.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:43.906844,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(7.5, 11.0, 10.672413793103448)","(4.4, 5.5, 5.284)","(3.0, 3.65, 3.624561403508772)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.4)","(51.0, 100.0, 64.0)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(41.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:45.479555,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 11.0, 10.840909090909092)","(4.4, 5.5, 5.270967741935484)","(3.1, 3.65, 3.624561403508772)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.4)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:47.096512,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 11.0, 10.840909090909092)","(4.4, 5.4, 5.270967741935484)","(3.1, 3.65, 3.6016666666666666)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.4)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:48.666466,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 11.0, 10.840909090909092)","(4.4, 5.4, 5.270967741935484)","(3.1, 3.65, 3.596296296296296)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.90909090909091)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.4)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:50.168537,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 11.0, 11.1875)","(4.4, 5.4, 5.26)","(3.1, 3.65, 3.596296296296296)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.2)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 51.33333333333333)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:51.768440,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 11.5, 11.1875)","(4.4, 5.3, 5.228571428571429)","(3.1, 3.65, 3.596296296296296)","(15.0, 20.0, 19.375)","(19.0, 23.0, 21.2)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 53.5)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
04-01-2023 15:24:53.364832,"(7.0, 9.2, 8.956521739130435)","(31.0, 46.0, 42.0)","(8.0, 11.5, 11.777777777777779)","(4.4, 5.3, 5.275)","(3.1, 3.65, 3.596296296296296)","(15.0, 20.0, 19.0)","(19.0, 23.0, 21.0)","(21.0, 46.0, 33.55555555555556)","(31.0, 60.0, 54.8)","(51.0, 100.0, 60.625)","(7.5, 9.6, 9.342857142857143)","(51.0, 65.0, 62.5)","(31.0, 70.0, 53.5)","(101.0, 560.0, 360.0)"
