,Rocky Banner,Wham Bam Kent,Nobu Lad,Aeroplane Wish,Ebby Justice,Mr Sizzler,Misled,Black Onyx Mae
09-01-2023 16:08:51.802856,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 116.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.2)"
09-01-2023 16:08:53.013099,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 116.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.2)"
09-01-2023 16:08:54.174753,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 116.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.2)"
09-01-2023 16:08:55.224333,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 116.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.2)"
09-01-2023 16:08:56.271284,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 116.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.2)"
09-01-2023 16:08:57.380628,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.2)"
09-01-2023 16:08:58.538311,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.04)"
09-01-2023 16:08:59.746074,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 27.53846153846154)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.04)"
09-01-2023 16:09:00.897710,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 36.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.04)"
09-01-2023 16:09:01.928299,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.04)"
09-01-2023 16:09:03.045166,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.04)"
09-01-2023 16:09:04.249772,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.866666666666667)"
09-01-2023 16:09:05.499559,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 14.24)"
09-01-2023 16:09:06.659099,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 14.24)"
09-01-2023 16:09:07.747192,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:09:08.772360,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:09:09.816931,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:09:10.955081,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:09:12.128259,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:09:13.295563,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:09:14.472892,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:15.735271,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:16.988531,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:18.266890,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:19.470962,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:20.655830,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:21.895992,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:23.063786,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 106.3076923076923)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:24.160961,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:25.232467,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:26.305003,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
09-01-2023 16:09:27.395813,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:28.521645,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:29.634882,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:30.790485,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:31.884969,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:33.024090,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:34.193491,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:35.387350,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 118.57142857142857)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:36.575381,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 116.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.0)"
09-01-2023 16:09:37.803985,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.776470588235295)"
09-01-2023 16:09:38.934491,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 14.733333333333334)"
09-01-2023 16:09:40.089604,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:41.228339,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:42.439660,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:43.686446,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:44.859835,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:45.904934,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:47.052349,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:48.200816,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:49.398784,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:50.571292,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:51.765552,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:52.903832,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:54.311453,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:55.765716,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:57.154270,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:58.466874,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:09:59.797613,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.21818181818182)"
09-01-2023 16:10:01.069675,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 148.0)","(5.0, 8.6, 7.0)","(7.5, 18.0, 14.24)"
09-01-2023 16:10:02.305033,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 14.24)"
09-01-2023 16:10:03.490438,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 14.24)"
09-01-2023 16:10:04.746585,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:10:05.996478,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 15.371428571428572)"
09-01-2023 16:10:07.271722,"(2.05, 2.24, 2.17)","(9.0, 16.5, 14.416666666666668)","(20.0, 60.0, 42.27272727272727)","(4.0, 7.8, 5.7)","(15.0, 38.0, 28.76923076923077)","(41.0, 260.0, 117.28571428571429)","(5.0, 8.6, 7.0)","(7.5, 18.0, 16.16)"
