,Knight Walker,Yarraman Markle,Nightwatch Star,Gemmas Express,Lexy Can Bern,Beatboxer,Blissfull Donna,Caesars Rockstar,Neville Shannon
15-12-2022 14:31:33.139633,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:34.633158,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:36.110795,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:37.602741,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:39.053604,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:40.554038,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:42.098428,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:43.668018,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 7.800000000000001)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:45.283616,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.8, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
15-12-2022 14:31:46.553562,"(15.0, 34.0, 23.75)","(3.8, 5.8, 5.2142857142857135)","(2.9, 5.4, 3.8000000000000003)","(41.0, 160.0, 97.0)","(4.6, 7.8, 6.666666666666666)","(11.0, 23.0, 17.25)","(5.0, 8.6, 8.0625)","(15.0, 44.0, 23.666666666666664)","(21.0, 70.0, 38.0)"
