,Fools Mirage,Cat Named Hercules,Homegrown Legend,Prince Carolina J,Forever Indian,Eura Bunny Boy,Charm The Ladies
08-12-2022 12:47:35.616727,"(2.35, 2.86, 2.84)","(41.0, 990.0, 519.0)","(26.0, 190.0, 64.64285714285714)","(4.4, 5.0, 4.178571428571429)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:36.649945,"(2.35, 2.86, 2.84)","(41.0, 990.0, 519.0)","(26.0, 190.0, 64.64285714285714)","(4.4, 5.0, 4.394736842105263)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:37.663189,"(2.35, 2.88, 2.7984313725490195)","(41.0, 990.0, 519.0)","(26.0, 190.0, 64.64285714285714)","(4.4, 5.0, 4.394736842105263)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:38.621118,"(2.35, 2.88, 2.7984313725490195)","(41.0, 990.0, 519.0)","(26.0, 190.0, 64.64285714285714)","(4.4, 5.0, 4.394736842105263)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:39.779123,"(2.35, 2.88, 2.7984313725490195)","(41.0, 990.0, 519.0)","(26.0, 190.0, 64.64285714285714)","(4.4, 4.9, 4.709090909090909)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:40.793419,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 190.0, 64.64285714285714)","(4.4, 4.9, 4.347368421052632)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:41.855250,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 190.0, 65.35714285714286)","(4.4, 4.8, 4.78)","(10.0, 25.0, 21.92)","(21.0, 32.0, 30.42857142857143)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:42.900232,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 190.0, 102.75)","(4.4, 4.8, 4.625)","(10.0, 25.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:44.036143,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 190.0, 65.71428571428572)","(4.4, 4.8, 4.741666666666666)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:45.121889,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 100.0, 26.5)","(4.4, 4.8, 4.741666666666666)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:46.301417,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 68.66666666666666)","(4.4, 4.8, 4.763157894736842)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:47.434010,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 68.66666666666666)","(4.4, 4.8, 4.763157894736842)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:48.574523,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 68.66666666666666)","(4.4, 4.8, 4.763157894736842)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
08-12-2022 12:47:49.634597,"(2.35, 2.88, 2.8130232558139534)","(41.0, 990.0, 205.0)","(26.0, 95.0, 68.66666666666666)","(4.4, 4.8, 4.763157894736842)","(10.0, 24.0, 19.2)","(21.0, 32.0, 28.666666666666668)","(3.0, 3.45, 3.1366666666666667)"
