,Hes Blazing,Ebony Princess,What A Stunner,On Any Day,Love Letter,Here He Comes,Tuta Panda
0,"[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 3, 500136), 6.0, 14.5]"
1,"[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 4, 614497), 6.0, 14.5]"
2,"[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 5, 730077), 6.0, 14.5]"
3,"[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 6, 843102), 6.0, 14.5]"
4,"[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 7, 952298), 6.0, 14.5]"
5,"[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 9, 62794), 6.0, 14.5]"
6,"[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 10, 180424), 6.0, 14.5]"
7,"[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 11, 292478), 6.0, 14.5]"
8,"[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 12, 407868), 6.0, 14.5]"
9,"[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 3.5, 6.8]","[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 20.0, 75.0]","[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 5.0, 12.0]","[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 3.6, 6.2]","[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 6.0, 11.5]","[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 5.0, 9.0]","[datetime.datetime(2022, 11, 28, 10, 28, 13, 519480), 6.0, 14.5]"
