,Cawbourne Roses,We Back,Zipping Abigail,Battle Born,Coco Model,Magic Flame,Here Comes Buddy,You Know Tree
10-01-2023 18:44:57.792839,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:44:58.987676,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:00.186828,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:01.293768,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:02.465507,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:03.597764,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:04.799508,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:05.979197,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:07.154885,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
10-01-2023 18:45:08.269730,"(3.6, 4.7, 4.28)","(10.0, 14.0, 11.9)","(10.0, 19.0, 14.0)","(4.0, 7.2, 5.154545454545454)","(7.0, 11.5, 8.428571428571429)","(5.0, 7.2, 6.15)","(11.0, 32.0, 29.142857142857142)","(6.5, 18.0, 8.4)"
