,A Fighting Fury,Kings County,Louis January,Demurral,The Driller,Zipspur,Magnetic Drive
06-01-2023 14:32:11.826625,"(4.6, 5.6, 5.4875)","(6.0, 9.6, 8.7)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:12.913835,"(4.6, 5.6, 5.4875)","(6.0, 9.6, 8.7)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:14.013333,"(4.6, 5.6, 5.4875)","(6.0, 9.6, 8.7)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:15.110108,"(4.6, 5.6, 5.4875)","(6.0, 9.6, 8.7)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:16.117221,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:17.077111,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:18.139141,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:19.238671,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:20.361454,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:21.391520,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:22.358631,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:23.389984,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 3.8400000000000003)"
06-01-2023 14:32:24.320899,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 22.5)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:25.310956,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 22.5)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:26.376813,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 21.0)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:27.483964,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 17.88888888888889)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:28.652591,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:29.693597,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:30.786851,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:31.807245,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:32.805737,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
06-01-2023 14:32:33.928770,"(4.6, 5.6, 5.55)","(6.0, 9.4, 8.653333333333334)","(3.1, 3.9, 3.6554347826086957)","(14.0, 25.0, 18.142857142857142)","(13.0, 18.5, 16.25)","(7.5, 18.0, 13.8)","(3.5, 4.4, 4.252631578947369)"
