,Amuri Andy,Its Better,Anna Jem,Money Bags,Taieri Missile,Miss Adobe,Opawa Barns
05-01-2023 15:34:52.985091,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:34:54.134388,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:34:55.276378,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:34:56.444662,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:34:57.504259,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:34:58.555769,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:34:59.573110,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:00.521849,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:01.617819,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:02.641568,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:03.716517,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:04.817676,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:05.872262,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:06.921573,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:07.927706,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:08.855323,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 8.81578947368421)"
05-01-2023 15:35:09.772558,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 7.859999999999999)"
05-01-2023 15:35:10.757746,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 7.859999999999999)"
05-01-2023 15:35:11.722862,"(3.4, 5.1, 4.739024390243902)","(3.4, 5.1, 4.728571428571428)","(4.2, 7.0, 6.491935483870968)","(16.0, 150.0, 107.65625)","(9.0, 22.0, 21.36190476190476)","(21.0, 220.0, 92.71428571428571)","(3.7, 12.5, 7.859999999999999)"
