,Whata Journey,Tracer Bullet,Vanity Bay,Baileys With Legs,Misstrepo,Chainlinc,Johnrod,Onlysbest,Allambie
07-12-2022 18:44:53.674913,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.428571428571429)","(6.5, 9.0, 8.175)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 9.0, 8.371428571428572)"
07-12-2022 18:44:55.549764,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.428571428571429)","(6.5, 9.0, 8.175)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 9.0, 8.371428571428572)"
07-12-2022 18:44:57.963019,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.428571428571429)","(6.5, 9.0, 8.175)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 9.0, 8.371428571428572)"
07-12-2022 18:44:59.718298,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.428571428571429)","(6.5, 9.0, 8.175)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 9.0, 8.371428571428572)"
07-12-2022 18:45:01.362986,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.428571428571429)","(6.5, 9.0, 8.175)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 9.0, 8.371428571428572)"
07-12-2022 18:45:02.834997,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.428571428571429)","(6.5, 9.0, 7.345454545454546)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 9.0, 7.569230769230769)"
07-12-2022 18:45:04.408367,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:05.822661,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:07.317449,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:08.743713,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:10.229889,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:12.368205,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:14.206584,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:15.947856,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:17.723700,"(4.8, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:19.373511,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:20.980521,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:22.585462,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 12.666666666666666)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:24.280281,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:26.032741,"(4.6, 7.2, 6.24)","(17.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:27.902618,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:29.501511,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:31.701312,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.36)"
07-12-2022 18:45:33.509688,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.8, 7.355555555555555)"
07-12-2022 18:45:35.124183,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:36.859523,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:38.430457,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:39.966284,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:41.494032,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:43.047199,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:44.638483,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.25)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:46.218699,"(4.6, 7.2, 6.24)","(18.0, 29.0, 20.0)","(10.0, 16.0, 14.75)","(6.5, 8.0, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:47.726680,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:49.233479,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:50.726673,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
07-12-2022 18:45:52.327751,"(4.6, 7.2, 6.24)","(18.0, 29.0, 26.545454545454547)","(10.0, 16.0, 14.75)","(6.5, 7.8, 7.2)","(5.0, 6.8, 5.8)","(3.6, 5.3, 4.828571428571428)","(13.0, 24.0, 16.5625)","(14.0, 21.0, 14.4375)","(6.0, 8.6, 7.355555555555555)"
