,Solar Space,Infiltrate,Bald Head Sally,Turbo Tuxedo,Slingshot Marley,Oscar Ruth,Snowys Lad,Slingshot Puzzle
11-01-2023 16:13:43.013219,"(6.5, 8.8, 8.042857142857143)","(6.0, 11.5, 11.055555555555555)","(4.2, 5.5, 5.1000000000000005)","(91.0, 510.0, 335.0)","(5.5, 19.5, 21.125)","(2.0, 2.26, 2.0866666666666664)","(21.0, 50.0, 32.368421052631575)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:44.192578,"(6.5, 8.6, 8.042857142857143)","(6.0, 11.5, 11.055555555555555)","(4.2, 5.5, 5.1000000000000005)","(91.0, 510.0, 335.0)","(5.5, 22.0, 21.125)","(2.0, 2.26, 2.1)","(21.0, 44.0, 39.5)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:45.390723,"(6.5, 8.6, 8.042857142857143)","(6.0, 11.5, 9.98)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 22.0, 21.125)","(2.0, 2.3, 2.1)","(21.0, 42.0, 32.76923076923077)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:46.526364,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 22.0, 21.125)","(2.0, 2.3, 2.1)","(21.0, 42.0, 36.166666666666664)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:47.652377,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 22.0, 19.666666666666664)","(2.0, 2.3, 2.1)","(21.0, 38.0, 36.166666666666664)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:48.722575,"(6.5, 8.6, 8.015)","(6.0, 11.0, 10.82)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 21.0, 19.666666666666664)","(2.0, 2.3, 2.0933333333333333)","(21.0, 38.0, 31.583333333333332)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:49.716874,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.75)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 18.09090909090909)","(2.0, 2.28, 2.0933333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:51.084140,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.75)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.0)","(2.0, 2.28, 2.0933333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:52.311458,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.75)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.0)","(2.0, 2.28, 2.0933333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
11-01-2023 16:13:53.560956,"(6.5, 8.6, 8.015)","(6.0, 11.5, 10.75)","(4.2, 5.5, 5.033333333333333)","(91.0, 510.0, 335.0)","(5.5, 20.0, 19.0)","(2.0, 2.28, 2.0933333333333333)","(21.0, 38.0, 31.23076923076923)","(31.0, 60.0, 48.75)"
