,Willsintown,Destiny Blues,Fortyfive Rock,Handsome Harry Nz,Tulhurst Cuddles,Taleggio,Jaydes Terror,Darby Brights,Whata Reactor
12-01-2023 14:54:31.000931,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:32.410291,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:34.021233,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:35.562638,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:37.049505,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:38.675103,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:40.189945,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:41.679414,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:43.257909,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:44.636048,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:46.184670,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:47.476005,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:48.795652,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:50.135829,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:51.542016,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
12-01-2023 14:54:52.892155,"(101.0, 190.0, 162.85714285714286)","(61.0, 150.0, 133.33333333333334)","(17.0, 36.0, 26.5)","(5.0, 99999, 99990)","(2.6, 3.95, 3.44375)","(7.5, 12.0, 10.4)","(6.0, 9.6, 8.4)","(4.4, 6.6, 5.64)","(8.5, 15.5, 11.033333333333333)"
