,Towering Star,Finniss Blossom,Velocity Cleo,Highly Praised,Pure By Design,Easy Street,Didelis,Irish Brandy
10-01-2023 14:10:43.454611,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.65, 4.79375)","(15.0, 42.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 44.0, 52.666666666666664)"
10-01-2023 14:10:44.608717,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 5.0, 5.197368421052632)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 52.666666666666664)"
10-01-2023 14:10:45.741481,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 5.3, 5.191666666666666)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:46.815021,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 5.3, 5.191666666666666)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:47.888435,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 15.04)","(2.7, 5.3, 4.1)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:49.056618,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 5.3, 4.1)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:50.181325,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 5.3, 4.1)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:51.281092,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 38.0)"
10-01-2023 14:10:52.390160,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 52.666666666666664)"
10-01-2023 14:10:53.395109,"(2.8, 3.65, 2.99375)","(10.0, 19.5, 15.75)","(11.0, 22.0, 14.0)","(9.0, 16.5, 14.066666666666666)","(2.7, 3.8, 3.5375)","(15.0, 55.0, 28.666666666666664)","(6.5, 11.0, 8.88888888888889)","(16.0, 60.0, 52.666666666666664)"
