,Bel Song,Body And Soul,Doublern,Equatori,Prancing Queen,Ravera,Scuderia,Three Grand
16-12-2022 11:59:31.403078,"(5.5, 8.0, 7.866666666666667)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.65, 3.6273584905660377)","(13.0, 27.0, 25.695652173913043)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.244444444444444)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:32.506745,"(5.5, 8.0, 7.866666666666667)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.65, 3.6273584905660377)","(13.0, 27.0, 25.695652173913043)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.244444444444444)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:33.640958,"(5.5, 8.0, 7.866666666666667)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.65, 3.6273584905660377)","(13.0, 27.0, 25.695652173913043)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:34.753078,"(5.5, 8.0, 7.866666666666667)","(31.0, 28.0, 27.2)","(3.3, 3.65, 3.6273584905660377)","(13.0, 26.0, 24.0)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:35.793807,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.2)","(3.3, 3.65, 3.633673469387755)","(13.0, 26.0, 23.1875)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:36.937645,"(5.5, 8.0, 7.363636363636363)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.65, 3.633673469387755)","(13.0, 25.0, 22.11111111111111)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:38.050274,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.65, 3.633673469387755)","(13.0, 25.0, 22.11111111111111)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:39.198176,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:40.390390,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:41.614469,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:42.873296,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
16-12-2022 11:59:44.028363,"(5.5, 8.0, 7.125)","(31.0, 28.0, 27.692307692307693)","(3.3, 3.75, 3.622566371681416)","(13.0, 25.0, 20.46969696969697)","(6.0, 8.2, 8.030188679245283)","(6.5, 8.4, 8.266666666666666)","(4.8, 6.8, 6.5760000000000005)","(8.0, 9.6, 9.5)"
