,This Quaker,Get Smart Max,Count Eyre Nz,Hellbound,Willdomxav,Hateitwhenyourrite,Namoscar,Star Down Under
14-12-2022 18:43:46.604732,"(41.0, 70.0, 58.0)","(7.0, 9.4, 9.494117647058824)","(4.6, 99999, 99990)","(41.0, 60.0, 50.333333333333336)","(11.0, 16.5, 15.833333333333334)","(5.0, 6.4, 6.380952380952381)","(3.7, 4.4, 4.246478873239436)","(4.0, 5.4, 5.227631578947368)"
14-12-2022 18:43:47.647539,"(41.0, 65.0, 62.142857142857146)","(7.0, 9.6, 9.520588235294117)","(4.6, 99999, 99990)","(41.0, 55.0, 50.333333333333336)","(11.0, 16.5, 16.25)","(5.0, 6.4, 6.366666666666667)","(3.7, 4.3, 4.047826086956522)","(4.0, 5.3, 5.084615384615384)"
14-12-2022 18:43:48.704161,"(41.0, 70.0, 60.0)","(7.0, 9.6, 9.520588235294117)","(4.6, 99999, 99990)","(41.0, 65.0, 48.58620689655172)","(11.0, 17.0, 16.25)","(5.0, 6.4, 6.32)","(3.7, 4.1, 3.9851063829787234)","(4.0, 5.3, 4.982142857142858)"
14-12-2022 18:43:49.790180,"(41.0, 70.0, 61.0)","(7.0, 9.6, 9.53076923076923)","(4.6, 99999, 99990)","(41.0, 65.0, 48.58620689655172)","(11.0, 17.0, 16.25)","(5.0, 6.4, 6.32)","(3.7, 4.1, 3.923076923076923)","(4.0, 5.0, 5.16875)"
14-12-2022 18:43:51.125491,"(41.0, 70.0, 61.0)","(7.0, 9.6, 9.501818181818182)","(4.6, 99999, 99990)","(41.0, 65.0, 48.58620689655172)","(11.0, 17.0, 16.75)","(5.0, 6.4, 6.377777777777778)","(3.7, 4.0, 3.8729729729729727)","(4.0, 5.3, 5.062162162162163)"
14-12-2022 18:43:52.201973,"(41.0, 70.0, 61.0)","(7.0, 9.6, 9.501818181818182)","(4.6, 99999, 99990)","(41.0, 65.0, 50.125)","(11.0, 17.0, 16.833333333333332)","(5.0, 6.4, 6.463157894736842)","(3.7, 3.9, 3.8814285714285712)","(4.0, 5.2, 5.192857142857143)"
14-12-2022 18:43:53.254742,"(41.0, 70.0, 62.5)","(7.0, 9.8, 9.661538461538463)","(4.6, 99999, 99990)","(41.0, 65.0, 50.125)","(11.0, 17.0, 16.833333333333332)","(5.0, 6.6, 6.463157894736842)","(3.7, 3.9, 3.869047619047619)","(4.0, 5.3, 5.030232558139535)"
14-12-2022 18:43:54.428834,"(41.0, 70.0, 63.57142857142857)","(7.0, 9.8, 9.718181818181819)","(4.6, 99999, 99990)","(41.0, 60.0, 57.0)","(11.0, 17.0, 16.90909090909091)","(5.0, 6.6, 6.442424242424242)","(3.7, 3.9, 3.869047619047619)","(4.0, 5.3, 5.030232558139535)"
14-12-2022 18:43:55.539264,"(41.0, 70.0, 63.57142857142857)","(7.5, 11.0, 10.917808219178083)","(4.4, 99999, 99990)","(41.0, 60.0, 57.0)","(10.0, 17.0, 16.90909090909091)","(5.0, 6.6, 6.48936170212766)","(3.6, 3.9, 3.83953488372093)","(3.9, 5.2, 5.133333333333334)"
14-12-2022 18:43:56.569152,"(41.0, 70.0, 63.57142857142857)","(7.5, 11.0, 10.917241379310346)","(4.4, 99999, 99990)","(41.0, 60.0, 57.33333333333333)","(10.0, 17.0, 16.90909090909091)","(5.0, 6.6, 6.476190476190476)","(3.6, 3.85, 3.8125)","(3.9, 5.2, 5.12183908045977)"
14-12-2022 18:43:57.577168,"(41.0, 80.0, 64.0)","(7.5, 11.0, 7.4222222222222225)","(4.4, 99999, 99990)","(41.0, 80.0, 59.0)","(10.0, 27.0, 19.0)","(5.0, 7.0, 6.24)","(3.6, 15.0, 8.029166666666665)","(3.9, 13.0, 10.765384615384615)"
14-12-2022 18:43:58.658702,"(41.0, 75.0, 61.5)","(7.5, 11.0, 7.4222222222222225)","(4.4, 99999, 99990)","(41.0, 80.0, 59.0)","(10.0, 27.0, 19.0)","(5.0, 7.0, 6.24)","(3.6, 3.95, 3.459090909090909)","(3.9, 13.0, 10.765384615384615)"
14-12-2022 18:43:59.643205,"(41.0, 75.0, 61.5)","(7.5, 6.4, 5.406688963210703)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 20.0, 15.5)","(5.0, 6.8, 5.949999999999999)","(3.6, 5.8, 4.15)","(3.9, 5.5, 5.390909090909091)"
14-12-2022 18:44:00.705889,"(41.0, 75.0, 65.0)","(7.5, 10.5, 9.2)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 20.0, 15.75)","(5.0, 6.2, 5.5)","(3.6, 5.8, 4.0)","(3.9, 5.5, 4.795)"
14-12-2022 18:44:01.904600,"(41.0, 75.0, 65.0)","(7.5, 10.5, 8.16)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 20.0, 15.75)","(5.0, 6.0, 5.5)","(3.6, 5.8, 4.0)","(3.9, 4.8, 5.390909090909091)"
14-12-2022 18:44:03.074189,"(41.0, 75.0, 65.0)","(7.5, 10.5, 8.16)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 20.0, 15.5)","(5.0, 6.0, 5.4375)","(3.6, 5.8, 3.09)","(3.9, 5.5, 5.15)"
14-12-2022 18:44:04.073861,"(41.0, 75.0, 61.5)","(7.5, 10.0, 9.581818181818182)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 20.0, 15.5)","(5.0, 6.0, 5.4375)","(3.6, 3.1, 3.09)","(3.9, 5.5, 5.15)"
14-12-2022 18:44:05.035381,"(41.0, 75.0, 61.5)","(7.5, 10.5, 9.804545454545455)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 20.0, 15.5)","(5.0, 6.8, 6.7555555555555555)","(3.6, 5.8, 4.63)","(3.9, 5.5, 5.15)"
14-12-2022 18:44:06.050161,"(41.0, 75.0, 61.5)","(7.5, 10.5, 8.0)","(4.4, 99999, 99990)","(41.0, 65.0, 51.5)","(10.0, 21.0, 16.0)","(5.0, 6.8, 6.735714285714286)","(3.6, 5.8, 4.0)","(3.9, 5.5, 5.2)"
