,Smoke Show,Bit Shakey,Our Girls Shout,Rogue Temptation,Home Invader,Scott Me
11-01-2023 11:55:00.710067,"(3.4, 4.3, 4.224137931034482)","(2.5, 2.94, 2.888)","(3.5, 4.1, 4.042857142857143)","(21.0, 48.0, 41.904761904761905)","(11.0, 19.0, 19.421875)","(7.5, 11.0, 9.719148936170212)"
11-01-2023 11:55:01.787465,"(3.4, 4.3, 4.2384615384615385)","(2.5, 2.98, 2.9123076923076923)","(3.5, 4.1, 4.014285714285714)","(21.0, 48.0, 41.904761904761905)","(11.0, 20.0, 19.397058823529413)","(7.5, 10.0, 9.719148936170212)"
11-01-2023 11:55:02.689971,"(3.4, 4.3, 4.2384615384615385)","(2.5, 2.98, 2.9106666666666667)","(3.5, 4.1, 4.007692307692308)","(21.0, 40.0, 38.38095238095238)","(11.0, 20.0, 19.397058823529413)","(7.5, 10.0, 9.719148936170212)"
11-01-2023 11:55:03.557885,"(3.4, 4.3, 4.2124999999999995)","(2.5, 2.98, 2.934285714285714)","(3.5, 4.1, 4.052941176470588)","(21.0, 48.0, 41.80952380952381)","(11.0, 20.0, 19.422535211267604)","(7.5, 9.8, 9.74)"
11-01-2023 11:55:04.775311,"(3.4, 4.3, 4.209090909090909)","(2.5, 2.98, 2.948)","(3.5, 4.3, 4.2)","(21.0, 48.0, 42.34782608695652)","(11.0, 21.0, 20.5)","(7.5, 9.8, 9.644444444444444)"
11-01-2023 11:55:05.657775,"(3.4, 4.3, 4.192857142857142)","(2.5, 2.92, 2.900295566502463)","(3.5, 4.2, 4.158620689655172)","(21.0, 48.0, 42.34782608695652)","(11.0, 21.0, 20.5)","(7.5, 10.0, 9.644444444444444)"
11-01-2023 11:55:06.583670,"(3.4, 4.3, 4.192857142857142)","(2.5, 2.86, 2.848)","(3.5, 4.3, 4.205882352941177)","(21.0, 48.0, 41.84615384615385)","(11.0, 22.0, 20.133333333333333)","(7.5, 10.0, 9.733333333333333)"
11-01-2023 11:55:07.467107,"(3.4, 4.3, 4.192857142857142)","(2.5, 2.86, 2.836470588235294)","(3.5, 4.3, 4.216666666666667)","(21.0, 48.0, 40.888888888888886)","(11.0, 22.0, 20.133333333333333)","(7.5, 10.0, 9.733333333333333)"
11-01-2023 11:55:08.342754,"(3.4, 4.3, 4.1695652173913045)","(2.5, 2.86, 2.848)","(3.5, 4.3, 4.216666666666667)","(21.0, 48.0, 42.94736842105263)","(11.0, 22.0, 20.133333333333333)","(7.5, 10.0, 9.733333333333333)"
11-01-2023 11:55:09.197189,"(3.4, 4.3, 4.1695652173913045)","(2.5, 2.86, 2.8575757575757574)","(3.5, 4.3, 4.216666666666667)","(21.0, 48.0, 41.904761904761905)","(11.0, 22.0, 20.666666666666668)","(7.5, 10.0, 9.733333333333333)"
11-01-2023 11:55:10.382505,"(3.4, 4.3, 4.192857142857142)","(2.5, 2.86, 2.8575757575757574)","(3.5, 4.3, 4.22)","(21.0, 48.0, 43.07692307692308)","(11.0, 22.0, 20.941176470588236)","(7.5, 10.0, 9.784615384615384)"
11-01-2023 11:55:11.509341,"(3.4, 4.3, 4.192857142857142)","(2.5, 2.88, 2.8438596491228068)","(3.5, 4.3, 4.22)","(21.0, 48.0, 42.666666666666664)","(11.0, 22.0, 21.333333333333332)","(7.5, 10.0, 9.784615384615384)"
11-01-2023 11:55:12.417979,"(3.4, 4.3, 4.192857142857142)","(2.5, 2.88, 2.869411764705882)","(3.5, 4.3, 4.22)","(21.0, 48.0, 42.666666666666664)","(11.0, 22.0, 21.333333333333332)","(7.5, 10.0, 9.784615384615384)"
11-01-2023 11:55:13.331836,"(3.4, 4.3, 4.189655172413793)","(2.5, 2.9, 2.892)","(3.5, 4.3, 4.2125)","(21.0, 48.0, 41.333333333333336)","(11.0, 22.0, 21.333333333333332)","(7.5, 10.0, 9.784615384615384)"
11-01-2023 11:55:14.233655,"(3.4, 4.2, 4.159090909090909)","(2.5, 2.9, 2.892156862745098)","(3.5, 4.3, 4.2125)","(21.0, 48.0, 41.333333333333336)","(11.0, 22.0, 20.941176470588236)","(7.5, 10.0, 9.784615384615384)"
11-01-2023 11:55:15.209437,"(3.5, 4.2, 4.147058823529411)","(2.45, 2.92, 2.868709677419355)","(3.6, 4.3, 4.280487804878049)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.789473684210527)","(8.0, 10.0, 9.91764705882353)"
11-01-2023 11:55:16.173453,"(3.5, 4.2, 4.144)","(2.45, 2.9, 2.8873684210526314)","(3.6, 4.3, 4.280487804878049)","(21.0, 48.0, 41.333333333333336)","(12.0, 22.0, 21.55)","(8.0, 10.0, 9.91764705882353)"
