,On Pursuit,Get A Shout,Xavien Bale,Dr Archer,Aunt Bee,Aussie Axle,Raw Eleven,Velocity Tori
11-01-2023 19:18:05.325367,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 44.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:06.423067,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:07.563326,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:08.718640,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:09.854508,"(6.0, 12.5, 8.433333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:11.037539,"(6.0, 12.0, 7.333333333333334)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:12.260759,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:13.473645,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:14.697309,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:15.899439,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
11-01-2023 19:18:17.214341,"(6.0, 11.5, 8.1)","(31.0, 110.0, 56.25)","(1.65, 2.26, 2.187272727272727)","(3.9, 6.2, 4.275)","(16.0, 42.0, 25.75)","(11.0, 28.0, 22.03846153846154)","(12.0, 16.0, 13.5)","(91.0, 610.0, 561.3636363636363)"
