,Big Time Faye,Opawa Meg,Adobe Poppets,Allegro Tori,Eytukan,Love Race
16-12-2022 12:57:42.785113,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:43.802634,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 1.5289130434782607)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:44.792301,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.63, 1.5289130434782607)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:45.798608,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.62, 1.5256521739130435)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:46.739276,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 21.76923076923077)","(1.45, 1.62, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:47.717029,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 21.76923076923077)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:48.707057,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:49.676081,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:50.571169,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
16-12-2022 12:57:51.543754,"(6.5, 13.0, 11.7625)","(10.0, 24.0, 22.37777777777778)","(7.0, 13.0, 11.7625)","(7.5, 23.0, 22.070588235294117)","(1.45, 2.3, 1.972)","(13.0, 32.0, 29.4375)"
