,Blackpool Homer,Hazelnut,Slippery Swan,Island Chief,Cool Militant,Perfect Goddess,Devils Water,Way Up North
11-01-2023 15:56:08.518269,"(8.5, 15.0, 10.545454545454545)","(9.0, 16.0, 13.0)","(10.0, 36.0, 26.153846153846153)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.6, 3.8833333333333333)","(2.5, 3.65, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:09.909129,"(8.5, 15.0, 10.545454545454545)","(9.0, 16.0, 13.0)","(10.0, 34.0, 26.153846153846153)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:11.165916,"(8.5, 15.0, 10.545454545454545)","(9.0, 16.0, 13.0)","(10.0, 34.0, 26.153846153846153)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:12.418146,"(8.5, 15.0, 10.545454545454545)","(9.0, 16.0, 13.0)","(10.0, 34.0, 26.153846153846153)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:13.788607,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 34.0, 26.153846153846153)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:15.043761,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 34.0, 26.153846153846153)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:16.417810,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 34.0, 31.375)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:17.746907,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 31.375)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:19.189425,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 31.375)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:20.496719,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 31.5)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:21.730765,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 31.5)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:23.041730,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 31.625)","(9.0, 17.0, 13.657142857142857)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.657142857142857)"
11-01-2023 15:56:24.289534,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 31.625)","(9.0, 17.0, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 17.0, 13.11111111111111)"
11-01-2023 15:56:25.636799,"(8.5, 15.0, 10.545454545454545)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 33.875)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 13.11111111111111)"
11-01-2023 15:56:26.863251,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 36.0, 39.3)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:28.275517,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 48.0, 39.3)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:29.757002,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 48.0, 39.3)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:31.232326,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 48.0, 39.3)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:32.927387,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 48.0, 33.46666666666667)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:34.255450,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 50.0, 33.46666666666667)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:35.662092,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 50.0, 33.46666666666667)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:36.977177,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 50.0, 39.125)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:38.105942,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:39.217330,"(8.5, 15.5, 9.03448275862069)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 17.5, 14.733333333333334)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:40.535282,"(8.5, 15.5, 9.11111111111111)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:41.751426,"(8.5, 15.5, 9.11111111111111)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:42.934308,"(8.5, 15.5, 9.11111111111111)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:44.088873,"(8.5, 15.5, 9.11111111111111)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:45.218008,"(8.5, 15.5, 9.11111111111111)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 39.125)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:46.506138,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 36.375)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:47.738972,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 36.375)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:48.969128,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.0, 13.571428571428571)","(10.0, 42.0, 36.5)","(9.0, 18.5, 15.399999999999999)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.307692307692307)","(9.0, 18.0, 14.228571428571428)"
11-01-2023 15:56:50.223996,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.0, 12.4)","(10.0, 42.0, 36.5)","(9.0, 18.5, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.222222222222221)","(9.0, 18.0, 12.92)"
11-01-2023 15:56:51.463695,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.5)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.222222222222221)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:52.666832,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.5)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.222222222222221)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:53.758591,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.5)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:54.826957,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.5)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:56.076730,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:57.172719,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:58.269853,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.0, 14.1)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:56:59.435641,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.0, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:00.568869,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:01.592977,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:02.722558,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:03.886121,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:05.161891,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:06.266423,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:07.497398,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:08.779496,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.222222222222221)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:09.850506,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:10.972991,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:12.155858,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:13.361355,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:14.536667,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:15.651600,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 36.125)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 14.9)","(9.0, 18.5, 12.92)"
11-01-2023 15:57:16.765221,"(8.5, 15.5, 10.727272727272727)","(9.0, 17.5, 12.4)","(10.0, 42.0, 37.4)","(9.0, 19.5, 12.945454545454545)","(3.4, 5.8, 3.8833333333333333)","(2.5, 3.6, 3.0444444444444443)","(9.0, 21.0, 16.714285714285715)","(9.0, 18.5, 12.92)"
