,Alternate Shot,Sour Lemon,Epic Rooster,Adobe Derulo,Goldstar Tookie,Sugar Time
05-01-2023 16:10:56.970236,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:10:57.939506,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:10:58.969297,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:00.110392,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:01.288299,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:02.394421,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:03.376989,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:04.421803,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:05.511814,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:06.409227,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:07.338116,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:08.430335,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:09.473483,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:10.412511,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:11.387165,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:12.399622,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:13.501644,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:14.506081,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:15.492035,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:16.513693,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:17.516903,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.0)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:18.428683,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:19.483119,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:20.589660,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:21.615704,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:22.616360,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:23.592906,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:24.681161,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:25.630226,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:26.604800,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:27.705300,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:28.838145,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:29.819913,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.7)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:30.668368,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:31.695698,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:32.721280,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:33.777333,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:34.750493,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.25)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:35.785497,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
05-01-2023 16:11:36.865354,"(1.5, 1.86, 1.804225352112676)","(21.0, 230.0, 142.91176470588235)","(3.4, 5.4, 4.171428571428572)","(10.0, 50.0, 46.309090909090905)","(10.0, 65.0, 62.36190476190476)","(14.0, 34.0, 30.92857142857143)"
