,Similar Features,Swift Choice,Metro Mike,Davettes Diva,World Gone Mad,Federal Ranger
0,"[datetime.datetime(2022, 11, 28, 20, 20, 49, 10788), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 49, 10788), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 49, 10788), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 49, 10788), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 49, 10788), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 49, 10788), 3.3, 6.4]"
1,"[datetime.datetime(2022, 11, 28, 20, 20, 50, 117484), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 50, 117484), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 50, 117484), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 50, 117484), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 50, 117484), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 50, 117484), 3.3, 6.4]"
2,"[datetime.datetime(2022, 11, 28, 20, 20, 51, 229067), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 51, 229067), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 51, 229067), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 51, 229067), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 51, 229067), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 51, 229067), 3.3, 6.4]"
3,"[datetime.datetime(2022, 11, 28, 20, 20, 52, 334608), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 52, 334608), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 52, 334608), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 52, 334608), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 52, 334608), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 52, 334608), 3.3, 6.4]"
4,"[datetime.datetime(2022, 11, 28, 20, 20, 53, 433707), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 53, 433707), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 53, 433707), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 53, 433707), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 53, 433707), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 53, 433707), 3.3, 6.4]"
5,"[datetime.datetime(2022, 11, 28, 20, 20, 54, 535833), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 54, 535833), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 54, 535833), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 54, 535833), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 54, 535833), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 54, 535833), 3.3, 6.4]"
6,"[datetime.datetime(2022, 11, 28, 20, 20, 55, 634545), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 55, 634545), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 55, 634545), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 55, 634545), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 55, 634545), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 55, 634545), 3.3, 6.4]"
7,"[datetime.datetime(2022, 11, 28, 20, 20, 56, 742103), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 56, 742103), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 56, 742103), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 56, 742103), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 56, 742103), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 56, 742103), 3.3, 6.4]"
8,"[datetime.datetime(2022, 11, 28, 20, 20, 57, 841571), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 57, 841571), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 57, 841571), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 57, 841571), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 57, 841571), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 57, 841571), 3.3, 6.4]"
9,"[datetime.datetime(2022, 11, 28, 20, 20, 58, 936793), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 20, 20, 58, 936793), 4.4, 6.4]","[datetime.datetime(2022, 11, 28, 20, 20, 58, 936793), 4.4, 6.6]","[datetime.datetime(2022, 11, 28, 20, 20, 58, 936793), 21.0, 60.0]","[datetime.datetime(2022, 11, 28, 20, 20, 58, 936793), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 20, 20, 58, 936793), 3.3, 6.4]"
