,Prominent Henny,Warrior Empress,Awesome Evil,Can She Scoot,Tel Aviv
15-12-2022 11:09:06.940221,"(4.4, 5.2, 4.991666666666667)","(5.0, 6.4, 6.057142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.32, 2.292727272727273)"
15-12-2022 11:09:07.939873,"(4.4, 5.2, 4.991666666666667)","(5.0, 6.4, 6.057142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.38, 2.292727272727273)"
15-12-2022 11:09:08.892517,"(4.4, 5.2, 4.991666666666667)","(5.0, 6.4, 6.057142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.38, 2.292727272727273)"
15-12-2022 11:09:09.917993,"(4.4, 5.2, 4.991666666666667)","(5.0, 6.4, 6.057142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:10.881553,"(4.4, 5.2, 4.991666666666667)","(5.0, 6.4, 6.057142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:11.793566,"(4.4, 5.2, 5.075)","(5.0, 6.4, 6.057142857142857)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:12.659339,"(4.4, 5.2, 5.075)","(5.0, 6.4, 6.1000000000000005)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:13.546277,"(4.4, 5.2, 5.075)","(5.0, 6.4, 6.1000000000000005)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:14.509736,"(4.4, 5.2, 5.075)","(5.0, 6.4, 6.1000000000000005)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:15.379196,"(4.4, 5.2, 5.075)","(5.0, 6.4, 6.1000000000000005)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.226923076923077)","(2.1, 2.36, 2.3)"
15-12-2022 11:09:16.302759,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:17.201086,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
15-12-2022 11:09:18.159373,"(4.4, 5.2, 5.075)","(5.0, 6.4, 5.915384615384616)","(31.0, 900.0, 472.0)","(4.4, 5.4, 5.25)","(2.1, 2.4, 2.2826666666666666)"
