,Whiskey Business,Amber Days,Have A Heart,Dream Dancer,Godges,Cheeky Willow,Cake Is Good,Dayseas Rikki
06-01-2023 16:05:02.823217,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 129.0909090909091)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:04.076756,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 129.0909090909091)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:05.301860,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:06.555751,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:07.688334,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:08.882411,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:09.912737,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:10.944801,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:12.132915,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:13.347631,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:14.531733,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 122.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:15.753386,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 134.58333333333334)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:16.970130,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:18.051740,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:19.089351,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:20.165333,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:21.229858,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:22.338746,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:23.511535,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:24.637323,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:25.719763,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:26.816793,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
06-01-2023 16:05:27.850273,"(2.3, 3.6, 2.3309523809523807)","(7.0, 12.0, 11.325)","(31.0, 210.0, 120.0)","(11.0, 32.0, 25.4375)","(7.5, 11.5, 7.814285714285714)","(10.0, 19.0, 18.78695652173913)","(3.6, 5.7, 4.9222222222222225)","(11.0, 22.0, 21.076923076923077)"
