,Sir Simon,Swoop Dog,White Hawk,Alpine Wolf,Shbourne Renegade,Reward Achiever,Rising Light,Shbourne Rebel,Vallabar,Dramazing,Ethical Dilemma,Skyway Star,Maincourt,Argyle Beach
11-01-2023 15:10:50.911041,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:10:52.634318,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:10:54.323098,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:10:55.950382,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:10:57.532368,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.48)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:10:59.165235,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.48)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:01.117192,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 118.94117647058823)","(5.0, 7.2, 6.48)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 70.14285714285714)","(7.5, 8.8, 7.840000000000001)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:03.078189,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 114.33333333333333)","(5.0, 7.2, 6.48)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 72.92307692307692)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:05.280319,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 114.33333333333333)","(5.0, 7.2, 6.48)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 72.92307692307692)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:07.351037,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 114.33333333333333)","(5.0, 7.2, 6.48)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 72.92307692307692)","(7.5, 8.8, 7.969230769230769)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:09.031042,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 114.33333333333333)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 72.92307692307692)","(7.5, 8.8, 7.3)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:10.765150,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 114.33333333333333)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 72.92307692307692)","(7.5, 8.8, 7.3)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
11-01-2023 15:11:12.541859,"(5.0, 8.0, 7.454545454545454)","(4.4, 5.1, 4.8652173913043475)","(41.0, 130.0, 114.33333333333333)","(5.0, 7.2, 6.75)","(31.0, 95.0, 86.06666666666666)","(4.8, 7.8, 7.4799999999999995)","(10.0, 10.0, 9.25)","(20.0, 30.0, 27.0)","(31.0, 80.0, 72.92307692307692)","(7.5, 8.8, 7.3)","(81.0, 190.0, 132.5)","(101.0, 210.0, 164.0)","(101.0, 220.0, 175.0)","(41.0, 100.0, 89.81818181818181)"
