,Smash Ready,Its Better,Diamond Harmony,Money Bags,Jocelyn,Edge Of Reason,Sadiki Bale,Taieri Missile
12-01-2023 15:44:54.243789,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 6.35)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.89090909090909)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:44:55.437762,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.4, 6.35)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.89090909090909)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:44:56.866793,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:44:58.188185,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:44:59.435322,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:00.666028,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:01.944257,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:03.292104,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:04.577101,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:05.749833,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.647368421052633)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:06.960251,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.636842105263158)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:08.189730,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:09.448216,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:10.637850,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:11.841273,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:13.089005,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:14.277448,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:15.397836,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 6.449999999999999)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:16.530919,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:17.783693,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:19.005834,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:20.220283,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:21.482901,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:22.697845,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:23.815382,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:24.948008,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
12-01-2023 15:45:26.054738,"(6.0, 10.5, 9.757894736842106)","(6.0, 10.5, 9.757894736842106)","(4.6, 8.6, 7.133333333333333)","(14.0, 29.0, 26.642857142857142)","(18.0, 140.0, 81.5)","(3.7, 12.5, 10.241935483870968)","(3.6, 5.6, 4.327272727272727)","(11.0, 23.0, 21.488888888888887)"
