,Prompt Prodigy,Deevine,Grand Pope,Grinzinger Prince,Tramontana,Bluestone Lane,Cosmic Rhapsody,Jamarra,Rosalia,Pinnace,Snappy Magnus,Hes Essential,The Siscos Kid
04-01-2023 16:22:21.363114,"(61.0, 75.0, 73.26923076923077)","(31.0, 34.0, 33.666666666666664)","(7.0, 7.8, 7.8406905055487055)","(7.0, 8.0, 7.758787878787879)","(7.0, 8.0, 7.8)","(19.0, 23.0, 22.313868613138688)","(21.0, 29.0, 28.518987341772153)","(8.5, 11.0, 10.618852459016393)","(6.0, 7.8, 7.622826086956521)","(6.0, 6.8, 6.739031339031339)","(26.0, 99999, 99990)","(11.0, 13.0, 12.719424460431656)","(81.0, 110.0, 102.53012048192771)"
04-01-2023 16:22:23.001343,"(71.0, 75.0, 73.26923076923077)","(31.0, 34.0, 32.41379310344828)","(7.0, 8.0, 7.726436781609195)","(7.0, 7.8, 7.9855072463768115)","(7.0, 8.0, 7.776354679802956)","(19.0, 23.0, 22.86868686868687)","(21.0, 29.0, 29.514285714285712)","(8.5, 11.0, 10.349030470914128)","(6.0, 7.8, 7.785340314136126)","(6.0, 6.8, 7.179220779220779)","(26.0, 99999, 99990)","(11.0, 13.0, 12.888535031847134)","(81.0, 110.0, 102.05128205128204)"
04-01-2023 16:22:24.751039,"(61.0, 75.0, 96.25)","(31.0, 36.0, 34.0)","(7.0, 8.0, 7.353191489361702)","(7.0, 8.0, 7.00625)","(7.0, 8.0, 8.30952380952381)","(19.0, 23.0, 30.723404255319146)","(21.0, 30.0, 33.0)","(8.5, 10.5, 9.06857142857143)","(6.0, 7.8, 7.515384615384615)","(6.0, 7.2, 7.233333333333333)","(26.0, 99999, 99990)","(11.0, 13.5, 16.026315789473685)","(81.0, 110.0, 100.0)"
04-01-2023 16:22:26.305875,"(61.0, 130.0, 77.47826086956522)","(31.0, 46.0, 22.07920792079208)","(7.0, 8.0, 7.353191489361702)","(7.0, 9.2, 7.00625)","(7.0, 12.5, 8.923076923076923)","(19.0, 32.0, 30.723404255319146)","(21.0, 48.0, 37.0)","(8.5, 11.0, 9.06857142857143)","(6.0, 10.0, 7.515384615384615)","(6.0, 7.4, 7.2)","(26.0, 99999, 99990)","(11.0, 21.0, 18.416666666666664)","(81.0, 160.0, 100.0)"
04-01-2023 16:22:27.892058,"(61.0, 80.0, 77.47826086956522)","(31.0, 30.0, 22.07920792079208)","(7.0, 8.0, 7.353191489361702)","(7.0, 9.2, 7.473469387755102)","(7.0, 12.0, 8.923076923076923)","(19.0, 32.0, 20.91304347826087)","(21.0, 46.0, 36.0)","(8.5, 11.0, 10.087719298245615)","(6.0, 10.0, 7.515384615384615)","(6.0, 7.4, 7.296296296296297)","(31.0, 99999, 99990)","(11.0, 20.0, 18.68181818181818)","(81.0, 160.0, 80.0)"
04-01-2023 16:22:29.435902,"(61.0, 80.0, 77.47826086956522)","(31.0, 30.0, 22.07920792079208)","(7.0, 8.0, 7.2)","(7.0, 9.2, 7.266666666666667)","(7.0, 12.0, 6.97037037037037)","(19.0, 22.0, 20.923076923076923)","(21.0, 44.0, 36.0)","(8.5, 11.0, 10.090909090909092)","(6.0, 10.0, 9.512)","(6.0, 7.4, 11.266666666666666)","(31.0, 99999, 99990)","(11.0, 19.5, 17.807692307692307)","(81.0, 160.0, 80.0)"
04-01-2023 16:22:31.052520,"(61.0, 80.0, 36.5)","(31.0, 30.0, 29.75)","(7.0, 8.0, 7.236363636363636)","(7.0, 7.4, 8.36)","(7.0, 7.0, 10.528571428571428)","(19.0, 22.0, 20.9438202247191)","(21.0, 44.0, 36.0)","(8.5, 11.0, 9.771428571428572)","(6.0, 9.8, 5.997575757575758)","(6.0, 11.5, 7.252173913043478)","(31.0, 99999, 99990)","(11.0, 20.0, 13.25)","(81.0, 160.0, 70.0)"
04-01-2023 16:22:32.696778,"(61.0, 80.0, 38.0)","(31.0, 44.0, 31.333333333333332)","(7.0, 7.6, 7.238095238095238)","(7.0, 9.0, 7.800000000000001)","(7.0, 11.0, 9.8)","(19.0, 22.0, 21.020833333333332)","(21.0, 44.0, 32.5)","(8.5, 10.0, 9.280000000000001)","(6.0, 6.0, 6.415384615384616)","(6.0, 12.0, 7.733333333333333)","(31.0, 99999, 99990)","(11.0, 20.0, 13.25)","(81.0, 160.0, 76.66666666666666)"
04-01-2023 16:22:34.347982,"(61.0, 65.0, 45.45454545454545)","(31.0, 42.0, 31.333333333333332)","(7.0, 7.6, 7.419047619047619)","(7.0, 8.8, 8.22857142857143)","(7.0, 11.0, 9.35)","(19.0, 22.0, 20.96551724137931)","(21.0, 46.0, 32.5)","(8.5, 10.0, 9.485714285714286)","(6.0, 6.6, 9.163934426229508)","(6.0, 9.6, 7.866666666666666)","(31.0, 99999, 99990)","(11.0, 20.0, 13.625)","(81.0, 150.0, 76.66666666666666)"
04-01-2023 16:22:36.021153,"(61.0, 65.0, 45.45454545454545)","(31.0, 42.0, 31.333333333333332)","(7.0, 7.6, 7.419047619047619)","(7.0, 8.8, 7.191666666666666)","(7.0, 11.5, 10.271428571428572)","(19.0, 22.0, 20.96551724137931)","(21.0, 46.0, 34.0)","(8.5, 10.0, 9.280000000000001)","(6.0, 9.2, 9.043999999999999)","(6.0, 9.6, 8.385714285714286)","(31.0, 99999, 99990)","(11.0, 20.0, 10.921052631578947)","(81.0, 150.0, 90.0)"
