,Notacry,A View From Above,Moogie Son,Champs Success,Lightning Star,Fast Gallito,Leslies Gold,Tool Time,Speeding Style,Poverty Bay
12-01-2023 08:39:55.153975,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:39:56.669832,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:39:58.131320,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:39:59.524863,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:00.910824,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:02.378504,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:03.860353,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:05.261593,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:06.587005,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:07.978021,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:09.451745,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
12-01-2023 08:40:10.957284,"(9.0, 99999, 99990)","(6.0, 99999, 99990)","(3.2, 99999, 99990)","(12.0, 99999, 99990)","(4.6, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(17.0, 99999, 99990)","(7.5, 99999, 99990)","(8.0, 99999, 99990)"
