,Rocking Bugatti,Hurricane Hall,Major Watson Nz,Our Madiba Nz,Ultimate Force,Bide Our Time,Belittled,Rocket Boy,Tupelo Beach,Daylight At Dawn
07-01-2023 15:39:28.249811,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:29.960212,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:31.460954,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:32.980363,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:34.362153,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:35.725657,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:37.132572,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:38.659564,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:40.188642,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:41.707939,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:43.249863,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:44.789469,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:46.266576,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
07-01-2023 15:39:47.917302,"(4.4, 7.6, 6.725)","(7.0, 13.0, 12.716666666666667)","(6.0, 99999, 99990)","(101.0, 99999, 99990)","(51.0, 160.0, 149.45454545454544)","(3.9, 6.4, 5.7125)","(6.5, 11.0, 9.4)","(17.0, 38.0, 26.25)","(71.0, 220.0, 193.33333333333334)","(4.0, 6.2, 5.5875)"
