,Shintaro Fury,Finniss Spice,Newtons Law,Recommend,Bag The Cash,Big Merv,Velocity Corene,Irish Gem
07-01-2023 10:31:57.096085,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:31:58.420620,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:31:59.775733,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:01.140385,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:02.471239,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:03.676713,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:04.928610,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:06.271701,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:07.511862,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
07-01-2023 10:32:08.831636,"(6.0, 10.5, 8.46923076923077)","(4.8, 10.5, 5.183333333333334)","(9.0, 18.0, 9.833333333333332)","(6.0, 14.5, 7.237500000000001)","(4.0, 6.6, 5.25)","(13.0, 27.0, 22.526315789473685)","(5.5, 10.5, 8.537037037037038)","(6.5, 14.0, 11.90967741935484)"
