,Clockstrikestwelve,Thats Amare,Shezaghost,Scherzo,Madeira Wine,Rev Ree,Trojan Clubhouse
08-01-2023 08:58:13.717578,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:14.833977,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:15.933656,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:17.021964,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:18.124663,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:19.221324,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:20.354161,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:21.436320,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:22.532083,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
08-01-2023 08:58:23.685315,"(3.1, 99999, 99990)","(5.5, 99999, 99990)","(6.5, 99999, 99990)","(17.0, 99999, 99990)","(5.0, 99999, 99990)","(6.0, 99999, 99990)","(6.5, 99999, 99990)"
