,Augusto Bravo,Charmed Destiny,Gentacheeva,Irish Knight,Sunday Bowler,Nairobi,Xylina Warrior,Monks
04-01-2023 11:41:59.568630,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.3142028985507244)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:00.658131,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3142028985507244)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:01.764126,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3142028985507244)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:02.911667,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3147517730496454)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:04.015744,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3147517730496454)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:05.091527,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3027906976744186)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:06.167991,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3028571428571425)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:07.277319,"(26.0, 42.0, 38.0)","(2.0, 2.34, 2.3028571428571425)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:08.373007,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.2849999999999997)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:09.425084,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:10.506790,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:11.617416,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 260.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:12.728350,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 320.0, 215.55555555555554)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:13.846728,"(26.0, 42.0, 38.0)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.458823529411765)","(91.0, 310.0, 215.55555555555554)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:14.920176,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 310.0, 176.66666666666666)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:16.010331,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 200.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:17.101628,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 200.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:18.201471,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 200.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:19.299047,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 200.0)","(26.0, 36.0, 31.11111111111111)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:20.408366,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 200.0)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:21.547287,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 246.66666666666669)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:22.604788,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 246.66666666666669)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:23.657471,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 246.66666666666669)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:24.704065,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 300.0, 206.66666666666669)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:25.772882,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.535135135135135)","(91.0, 290.0, 206.66666666666669)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:26.799232,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 290.0, 233.33333333333331)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:27.809999,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:28.847918,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:29.882106,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 29.48148148148148)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:30.951530,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 30.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:32.028930,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 34.0, 30.0)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:33.141629,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 34.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:34.271650,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:35.415335,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:36.511449,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:37.585647,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.3, 2.288)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:38.776742,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.276326530612245)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:39.911630,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.2966666666666664)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:41.028571,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.2966666666666664)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:42.095591,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.2966666666666664)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 280.0, 233.33333333333331)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:43.138718,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.34, 2.2966666666666664)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 270.0, 197.77777777777777)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:44.204822,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3188235294117647)","(21.0, 40.0, 38.5)","(5.5, 8.6, 8.42)","(91.0, 260.0, 220.0)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:45.309434,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3516666666666666)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.380952380952381)","(91.0, 260.0, 220.0)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:46.368068,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3516666666666666)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.380952380952381)","(91.0, 260.0, 220.0)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
04-01-2023 11:42:47.420229,"(26.0, 42.0, 39.81818181818182)","(2.0, 2.36, 2.3528)","(21.0, 40.0, 38.5)","(5.5, 9.0, 8.380952380952381)","(91.0, 260.0, 220.0)","(26.0, 36.0, 28.42105263157895)","(5.5, 7.6, 7.158620689655172)","(3.8, 4.7, 4.684615384615385)"
