,Right To Assemble,Lindas Taj,I Love Maria,Varsity Kickline,Gilded Quest,Jaccaci,Tout Ensemble
15-12-2022 10:49:32.328249,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 298.20000000000005)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:33.269040,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 298.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:34.284953,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 298.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:35.273626,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 250.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:36.304923,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 250.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:37.368391,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 250.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:38.375523,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 250.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:39.346000,"(101.0, 880.0, 310.6666666666667)","(9.0, 24.0, 14.666666666666668)","(31.0, 300.0, 159.75)","(12.0, 490.0, 250.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:40.260349,"(101.0, 880.0, 310.6666666666667)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 490.0, 250.0)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:41.280197,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:42.287497,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:43.307845,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:44.354940,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:45.380171,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:46.356296,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:47.274914,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:48.247129,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:49.205043,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:50.293329,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:51.313374,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:52.412094,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 255.92857142857142)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:53.515526,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 256.1428571428571)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:54.621327,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 256.1428571428571)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:49:55.692320,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 256.1428571428571)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:56.741269,"(101.0, 610.0, 172.0)","(9.0, 23.0, 19.75)","(31.0, 300.0, 159.75)","(12.0, 440.0, 256.1428571428571)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:57.772701,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 440.0, 256.1428571428571)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:58.731957,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 26.0, 21.208333333333336)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:49:59.689594,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.6)"
15-12-2022 10:50:00.707511,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:01.728768,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:02.754164,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:03.798538,"(101.0, 610.0, 172.0)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.616666666666665)"
15-12-2022 10:50:04.729309,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 159.75)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.67142857142857)"
15-12-2022 10:50:05.755773,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 26.076923076923077)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.633333333333333)"
15-12-2022 10:50:06.821904,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 36.0, 29.666666666666664)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:07.894198,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 34.0, 29.666666666666664)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:08.997959,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 34.0, 29.666666666666664)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:10.108089,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 34.0, 23.923076923076923)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:11.071754,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 32.0, 23.923076923076923)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
15-12-2022 10:50:11.990685,"(101.0, 610.0, 259.6)","(9.0, 22.0, 17.2)","(31.0, 300.0, 206.33333333333334)","(12.0, 430.0, 290.3333333333333)","(7.5, 30.0, 28.0625)","(1.45, 1.69, 1.6829787234042553)","(4.4, 9.2, 8.649999999999999)"
