,Assassinator,Wrangler Nz,Culture King,Dancing Finn,Joes A Character,Stratofortress Nz,Brantley Nz
0,"[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 6, 754581), 5.5, 99999]"
1,"[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 7, 954317), 5.5, 99999]"
2,"[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 9, 148107), 5.5, 99999]"
3,"[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 10, 343251), 5.5, 99999]"
4,"[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 11, 534450), 5.5, 99999]"
5,"[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 12, 723352), 5.5, 99999]"
6,"[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 13, 906130), 5.5, 99999]"
7,"[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 15, 86198), 5.5, 99999]"
8,"[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 16, 263920), 5.5, 99999]"
9,"[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 4.4, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 17.0, 32.0]","[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 9.0, 15.5]","[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 5.0, 8.6]","[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 2.3, 99999]","[datetime.datetime(2022, 11, 28, 16, 18, 17, 438851), 5.5, 99999]"
