,Acquiescent,Dollar Bucks,Kano,Of The Field,Scamster,The Bladesman,Tewkesbury,Jugan,Saintly Rose,Superior Sam,Unscented
08-01-2023 13:34:02.559420,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:03.981328,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:05.288640,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:06.579320,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:07.919677,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:09.305816,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:10.691147,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:12.042707,"(2.0, 2.2, 2.1836363636363636)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:13.312263,"(2.0, 2.2, 2.1836363636363636)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:14.593695,"(2.0, 2.2, 2.1836363636363636)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:15.888588,"(2.0, 2.2, 2.14)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:17.198541,"(2.0, 2.2, 2.1384615384615384)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:18.541393,"(2.0, 2.2, 2.1384615384615384)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:19.859075,"(2.0, 2.2, 2.1384615384615384)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
08-01-2023 13:34:21.217356,"(2.0, 2.2, 2.168)","(101.0, 230.0, 196.66666666666666)","(101.0, 230.0, 205.0)","(101.0, 230.0, 205.0)","(6.5, 13.5, 11.65)","(4.6, 5.9, 5.566666666666667)","(10.0, 15.5, 14.394736842105264)","(21.0, 80.0, 42.5)","(41.0, 170.0, 149.33333333333334)","(5.0, 8.6, 7.88)","(101.0, 230.0, 180.0)"
