,Jets Art,Jo Rocks,Alanza,Elli Joh,Heavenly Brigade Nz,Norms Lady,Blissfull Mind,Tic Tact,Aussiepride,Power Up Nz
11-01-2023 19:16:42.543397,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:43.939023,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:45.239586,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:46.472397,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:47.736722,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:49.073927,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:50.438721,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:51.820026,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:53.202381,"(6.0, 8.4, 7.6000000000000005)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
11-01-2023 19:16:54.599174,"(6.0, 8.4, 7.733333333333333)","(8.0, 10.0, 9.04)","(3.2, 3.9, 3.5)","(51.0, 180.0, 137.14285714285714)","(5.5, 99999, 99990)","(4.8, 8.4, 7.4625)","(81.0, 170.0, 138.57142857142856)","(61.0, 190.0, 85.83333333333333)","(26.0, 38.0, 30.0)","(4.4, 99999, 99990)"
