,Toongabbie Mae,Nelly Intention,Lika Light,St Maarten,Toms Express,Belle Intention,Leapling,Trendy Touchdown
08-01-2023 19:22:58.609907,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:22:59.686211,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:00.800004,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:02.148854,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:03.251373,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:04.307672,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:05.359552,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:06.462978,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 384.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:07.627100,"(1.9, 2.92, 2.7142857142857144)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 450.0, 245.38461538461542)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
08-01-2023 19:23:08.759003,"(1.9, 3.05, 2.8049999999999997)","(2.5, 4.1, 2.996)","(81.0, 580.0, 327.5)","(10.0, 22.0, 14.666666666666666)","(7.0, 9.2, 8.728571428571428)","(51.0, 550.0, 459.16666666666663)","(20.0, 65.0, 44.0)","(20.0, 55.0, 38.0)"
