,Red Fox,Antequera,Diddley Squat,Zoufire,Big Bullet,Berry Foxie,World Action,Xtramagic
08-01-2023 11:44:30.417754,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:31.352787,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:32.289374,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:33.251552,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:34.209398,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:35.337200,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:36.308301,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:37.270162,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 176.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:38.236042,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:39.246170,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:40.355006,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:41.342661,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:42.352115,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:43.362394,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:44.426677,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:45.454961,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:46.407965,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.436363636363636)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:47.411503,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:48.341061,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:49.326274,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:50.261095,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:51.274762,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:52.264680,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
08-01-2023 11:44:53.199084,"(3.5, 4.2, 3.886842105263158)","(8.0, 10.5, 9.811764705882352)","(3.9, 5.9, 5.65)","(7.5, 11.5, 11.185714285714285)","(101.0, 220.0, 165.0)","(12.0, 24.0, 21.833333333333332)","(3.6, 4.0, 3.933333333333333)","(9.0, 14.0, 13.555555555555555)"
