,Als Loaded,Big Time Oreo,Thrilling Maple,Big Time Violet,Claws In Creed,Claws In Cobra,Go Tina,Sugar Boom Boom
14-12-2022 11:54:04.899827,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8187499999999996)","(16.0, 24.0, 22.486486486486488)","(15.0, 21.0, 19.541666666666668)","(20.0, 32.0, 29.10344827586207)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.2425454545454544)"
14-12-2022 11:54:05.938150,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8187499999999996)","(16.0, 24.0, 22.486486486486488)","(15.0, 21.0, 19.627450980392158)","(20.0, 32.0, 29.10344827586207)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.2425454545454544)"
14-12-2022 11:54:06.988795,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.486486486486488)","(15.0, 21.0, 19.627450980392158)","(20.0, 32.0, 29.10344827586207)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.2425454545454544)"
14-12-2022 11:54:07.991421,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.486486486486488)","(15.0, 21.0, 19.627450980392158)","(20.0, 32.0, 29.10344827586207)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:09.076988,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.826086956521738)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.486486486486488)","(15.0, 21.0, 19.627450980392158)","(20.0, 32.0, 29.10344827586207)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:10.039637,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.826086956521738)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.486486486486488)","(15.0, 21.0, 19.627450980392158)","(20.0, 32.0, 29.10344827586207)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:11.025484,"(19.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 21.76)","(15.0, 21.0, 19.362068965517242)","(20.0, 32.0, 29.454545454545453)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:12.146172,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 21.76)","(15.0, 21.0, 19.362068965517242)","(20.0, 32.0, 29.454545454545453)","(18.0, 24.0, 23.363636363636363)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:13.190414,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.555555555555555)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.444444444444443)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.066666666666666)","(1.9, 2.26, 2.24188679245283)"
14-12-2022 11:54:14.202104,"(20.0, 34.0, 29.833333333333332)","(9.0, 12.0, 11.066666666666666)","(3.3, 3.9, 3.8206896551724134)","(16.0, 24.0, 22.444444444444443)","(15.0, 21.0, 19.194444444444443)","(20.0, 32.0, 29.666666666666664)","(18.0, 24.0, 23.066666666666666)","(1.9, 2.26, 2.24188679245283)"
